GWAquiferId|GWAquiferCode|Description|CreatedDate|LastUpdateDate
127|112TEDAS|Tahoka Formation, Fredericksburg Group and Antlers Sand||
128|112WLLS|Willis Sand||
129|120BLSN|Bolson Deposits||
130|120IGNS|Igneous Rocks||
131|120IVIG|Intrusive Rocks||
132|120VLCC|Volcanics||
133|121EVBV|Evangeline Aquifer and Burkeville Aquiclude||
134|121EVGL|Evangeline Aquifer||
135|121EVJP|Evangeline and Jasper Aquifers||
136|121EVJPU|Evangeline Aquifer and Upper Unit of Jasper Aquifer||
137|121GDLG|Goliad Sand and Lagarto Clay||
138|121GOLD|Goliad Sand||
139|121ODPJ|Ogallala Formation, Dakota Group, Purgatoire Formation and Jurassic||
140|121OGAL|Ogallala Formation and Antlers Sand||
141|121OGDK|Ogallala Formation and Dockum Formation||
142|121OGDP|Ogallala Formation, Dakota Group and Purgatoire Formation||
143|121OGFA|Ogallala Formation, Fredericksburg Group and Antlers Sand||
144|121OGFG|Ogallala Formation and Fredericksburg Group||
145|121OGLD|Ogallala Formation and Dakota Group||
146|121OGLL|Ogallala Formation||
147|121OGLM|Ogallala and Morrison Formations||
148|121OGLP|Ogallala and Purgatoire Formations||
149|121OGLW|Ogallala Formation and Whitehorse Group||
150|121OGPJ|Ogallala Formation, Purgatoire Formation and Jurassic||
151|121UVLD|Uvalde Gravel||
152|122BKVL|Burkeville Aquiclude||
153|122CJCK|Catahoula Tuff and Jackson Group||
154|122CTHL|Catahoula Formation||
155|122FBKV|Fleming Formation and Burkeville Aquiclude||
156|122FLMG|Fleming Formation||
157|122JBKV|Jasper Aquifer and Burkeville Aquiclude||
158|122JPCL|Jasper Aquifer and Catahoula Sandstone||
159|122JPJK|Jasper Aquifer and Jackson Group||
160|122JSPR|Jasper Aquifer||
161|122JSPRU|Jasper Aquifer, Upper Unit||
162|122LGRT|Lagarto Clay||
163|122LOKV|Lagarto Clay and Oakville Sandstone||
164|122OKVC|Oakville Sandstone and Catahoula Tuff||
165|122OKVL|Oakville Sandstone||
166|123ANHC|Anahuac Formation||
167|124BFCS|Bigford Formation and Carrizo Sand||
168|124BGDF|Bigford Formation of Claiborne Group||
169|124CABF|Calvert Bluff Formation||
170|124CBSB|Calvert Bluff Formation and Simsboro Sand Member||
171|124CKMC|Cook Mountain Formation and Carrizo Sand||
172|124CKMN|Cook Mountain Formation||
173|124CKMS|Cook Mountain Formation and Sparta Sand||
174|124CPRS|Cypress Aquifer||
175|124CRRZ|Carrizo Sand||
176|124CRVR|Cane River Formation||
177|124CZCB|Carrizo Sand and Calvert Bluff Formation||
178|124CZCSB|Carrizo Sand, Calvert Bluff Formation and Simsboro Formation||
179|124CZSB|Carrizo Sand and Simsboro Sand Member of Rockdale Formation||
180|124CZWX|Carrizo Sand and Wilcox Group, Undifferentiated||
181|124ELPC|El Pico Clay||
182|124HOOP|Hooper Formation||
183|124INDO|Indio Formation||
184|124JCKS|Jackson Group||
185|124JCKSL|Lower Jackson Unit||
186|124JCKSU|Upper Jackson Unit||
187|124JKYG|Jackson Group and Yegua Formation||
188|124LJUY|Lower Jackson Unit and Upper Yegua Unit||
189|124LRDO|Laredo Formation||
190|124QCCW|Queen City Sand, Carrizo Sand and Wilcox Group||
191|124QCCZ|Queen City Sand and Carrizo Sand||
