WellFilterId|StateWellId|FilterMaterialId|FilterMaterialOtherDesc|TopDepth|BottomDepth|Size|CreatedDate|LastUpdateDate
106|5253|10||303|380|6/9 silica|2016-08-01|2016-08-01
107|5279|10||20|842|90f/10c|2016-08-01|2016-08-01
108|5302|10||15|844|90f/10c|2016-08-01|2016-08-01
109|5340|10||430|790|12/20|2016-08-01|2016-08-01
110|5341|10||400|710|12/20|2016-08-01|2016-08-01
111|5342|10||487|828|# 8-12|2016-08-01|2016-08-01
112|5651|10||20|320||2016-08-01|2016-08-01
113|5669|10||403|714|8/16 6/9|2016-08-01|2016-08-01
114|5715|10||500|780|8/16|2016-08-01|2016-08-01
115|5734|10||20|755|60f/90c|2016-08-01|2016-08-01
116|5893|10||465|720|8/12|2016-08-01|2016-08-01
117|6125|10||15|601|90f/10c|2016-08-01|2016-08-01
118|6186|10||235|283|8/16|2016-08-01|2016-08-01
119|6567|10||15|542|90f/10c|2016-08-01|2016-08-01
120|6713|10||378|518||2016-08-01|2016-08-01
121|6973|10||10|265|5/16|2016-08-01|2016-08-01
122|7043|10||15|340|#1 fine|2016-08-01|2016-08-01
123|7050|10||245|535|#1 fine KS|2016-08-01|2016-08-01
124|7102|10||790|940|8/16 Brady|2016-08-01|2016-08-01
125|7110|10||20|605|#1 fine|2016-08-01|2016-08-01
126|7228|10||20|600|#1 fine|2016-08-01|2016-08-01
127|7248|10||330|655|#1 fine|2016-08-01|2016-08-01
128|8314|10||227|296|8/16|2016-08-01|2016-08-01
129|8563|10||500|579|8/16|2016-08-01|2016-08-01
130|8564|10||515|614|8/16|2016-08-01|2016-08-01
131|8565|10||535|628|8/12|2016-08-01|2016-08-01
132|8594|10||460|604|90/10|2016-08-01|2016-08-01
133|8595|10||440|560|90/10|2016-08-01|2016-08-01
134|8596|10||441|557|8/16|2016-08-01|2016-08-01
135|8600|10||15|410|#1 coarse|2016-08-01|2016-08-01
136|80321|10||525|485||2016-08-03|2016-08-03
137|74135|10|||||2016-08-04|2016-08-04
138|74690|10||0|678||2016-08-05|2016-08-05
139|74691|10||0|758||2016-08-05|2016-08-05
140|70995|10|||||2016-08-05|2016-08-05
141|139067|10||15|134||2016-08-18|2016-08-18
142|139072|10||150|200||2016-08-29|2016-08-29
143|139075|10||220|320||2016-08-30|2016-08-30
144|139079|10||570|1050|12/20|2016-09-06|2016-09-06
145|139080|10||580|1040|12/20|2016-09-06|2016-09-06
146|35174|10||12|210||2016-09-07|2016-09-07
147|35175|10||12|200||2016-09-07|2016-09-07
148|36927|10||10|145||2016-09-07|2016-09-07
149|47207|10||1215|1360||2016-09-07|2016-09-07
151|36937|10||0|190||2016-09-07|2016-09-07
152|47948|10||350|550||2016-09-07|2016-09-07
153|37132|10||15|271||2016-09-07|2016-09-07
154|37143|10||10|253||2016-09-08|2016-09-08
155|37219|10||10|160||2016-09-08|2016-09-08
156|37991|10||150|184||2016-09-09|2016-09-09
157|139083|10||646|1050|12-20|2016-09-13|2016-09-13
158|21975|10||3070|3201||2016-09-13|2016-09-13
159|9411|10||170|344|50/50|2016-09-16|2016-09-16
160|10108|10||20|478|80/20|2016-09-16|2016-09-16
161|10121|10||285|380|8/16 silic|2016-09-16|2016-09-16
162|11159|10||110|218||2016-09-16|2016-09-16
163|14453|10||200|270||2016-09-16|2016-09-16
164|15346|10||136|330||2016-09-16|2016-09-16
165|15347|10||140|325||2016-09-16|2016-09-16
166|15704|10||67|110||2016-09-16|2016-09-16
167|15778|10||15|247|90f/10c|2016-09-16|2016-09-16
168|15789|10||20|225|70/30|2016-09-16|2016-09-16
169|15816|10||50|178|8/16|2016-09-16|2016-09-16
170|15851|10||10|80||2016-09-19|2016-09-19
171|15853|10||10|100||2016-09-19|2016-09-19
172|15890|10||12|185|20 40|2016-09-19|2016-09-19
173|15909|10||10|270||2016-09-19|2016-09-19
174|15986|10||12|215||2016-09-19|2016-09-19
175|16128|10||23|75||2016-09-19|2016-09-19
176|16450|10||10|140|1/4|2016-09-19|2016-09-19
177|16697|10||10|165|5/16|2016-09-19|2016-09-19
178|16715|10||10|165||2016-09-19|2016-09-19
179|16729|10||20|160||2016-09-19|2016-09-19
180|16756|10||22|223|8/16 brady|2016-09-19|2016-09-19
181|16775|10||22|220|8/16 brady|2016-09-19|2016-09-19
182|16844|10||11|135|50 50 |2016-09-19|2016-09-19
183|17603|10||12|185|50 50 |2016-09-19|2016-09-19
184|18784|10||10|100|3/4"|2016-09-19|2016-09-19
185|20332|10||26|42|6/9|2016-09-19|2016-09-19
186|20333|10||10|19|6/9|2016-09-19|2016-09-19
