WellHoleDiameterId|StateWellId|Diameter|TopDepth|BottomDepth|CreatedDate|LastUpdateDate
129|831|9|0|535|2016-07-29|2016-07-29
130|906|9|0|580|2016-07-29|2016-07-29
131|919|9|0|470|2016-07-29|2016-07-29
132|958|9|0|555|2016-07-29|2016-07-29
133|1199|9|0|510|2016-07-29|2016-07-29
134|1455|9.875|0|515|2016-07-29|2016-07-29
135|1484|9|0|475|2016-07-29|2016-07-29
136|1487|9|0|450|2016-07-29|2016-07-29
137|1755|9|0|460|2016-07-29|2016-07-29
138|1758|9|0|405|2016-07-29|2016-07-29
139|79957|7.875|0|98|2016-07-29|2016-07-29
140|1783|9|0|515|2016-07-29|2016-07-29
141|1825|9|0|530|2016-07-29|2016-07-29
142|1866|9|0|360|2016-07-29|2016-07-29
143|1914|9|0|420|2016-07-29|2016-07-29
144|1919|9|0|530|2016-07-29|2016-07-29
145|1956|9|0|595|2016-07-29|2016-07-29
146|1968|6.25|0|437|2016-07-29|2016-07-29
147|79961|9.875|0|305|2016-08-01|2016-08-01
148|79976|9.75|0|285|2016-08-01|2016-08-01
149|1976|9|0|290|2016-08-01|2016-08-01
150|2012|9|0|590|2016-08-01|2016-08-01
151|2195|11.5|0|140|2016-08-01|2016-08-01
152|2263|9.875|0|635|2016-08-01|2016-08-01
153|2271|9|0|470|2016-08-01|2016-08-01
154|2308|20|0|760|2016-08-01|2016-08-01
155|2309|20|0|760|2016-08-01|2016-08-01
156|2479|12.25|0|365|2016-08-01|2016-08-01
157|2516|12.5|0|300|2016-08-01|2016-08-01
158|2526|9|0|420|2016-08-01|2016-08-01
159|2575|10.75|0|600|2016-08-01|2016-08-01
160|2607|12.5|0|340|2016-08-01|2016-08-01
161|80045|8|0|189|2016-08-01|2016-08-01
162|2817|20|0|541|2016-08-01|2016-08-01
163|2906|12.25|0|25|2016-08-01|2016-08-01
164|2906|8.75|25|260|2016-08-01|2016-08-01
165|3033|12.5|0|420|2016-08-01|2016-08-01
166|3111|12.25|0|85|2016-08-01|2016-08-01
167|3340|22|0|108|2016-08-01|2016-08-01
168|3458|11.5|0|145|2016-08-01|2016-08-01
169|3475|25|0|585|2016-08-01|2016-08-01
170|3484|9|0|325|2016-08-01|2016-08-01
171|3866|14.75|0|98|2016-08-01|2016-08-01
172|3998|9|0|67|2016-08-01|2016-08-01
173|4300|10|0|20|2016-08-01|2016-08-01
174|4300|8|20|120|2016-08-01|2016-08-01
175|4368|25|0|10|2016-08-01|2016-08-01
176|4368|20|10|120|2016-08-01|2016-08-01
177|4368|14.75|130|150|2016-08-01|2016-08-01
178|4503|9|0|625|2016-08-01|2016-08-01
179|4525|25|0|532|2016-08-01|2016-08-01
180|4704|9|0|475|2016-08-01|2016-08-01
181|4957|28|0|642|2016-08-01|2016-08-01
182|4995|9|0|420|2016-08-01|2016-08-01
183|5034|9|0|180|2016-08-01|2016-08-01
184|5210|11|0|415|2016-08-01|2016-08-01
185|5211|36|0|20|2016-08-01|2016-08-01
186|5211|24|20|467|2016-08-01|2016-08-01
187|5212|36|0|20|2016-08-01|2016-08-01
188|5212|24|20|615|2016-08-01|2016-08-01
189|5213|36|0|20|2016-08-01|2016-08-01
190|5213|24|20|565|2016-08-01|2016-08-01
191|5218|11|0|595|2016-08-01|2016-08-01
192|5219|24|0|634|2016-08-01|2016-08-01
193|5220|38|0|20|2016-08-01|2016-08-01
194|5220|20|20|490|2016-08-01|2016-08-01
195|5221|36|0|20|2016-08-01|2016-08-01
196|5221|24|20|535|2016-08-01|2016-08-01
197|5222|36|0|20|2016-08-01|2016-08-01
198|5222|24|20|591|2016-08-01|2016-08-01
199|5226|10|0|345|2016-08-01|2016-08-01
200|5227|10|0|445|2016-08-01|2016-08-01
201|5228|10|0|545|2016-08-01|2016-08-01
202|5229|24|0|715|2016-08-01|2016-08-01
203|5230|36|0|20|2016-08-01|2016-08-01
204|5230|24|20|900|2016-08-01|2016-08-01
205|5231|24|0|703|2016-08-01|2016-08-01
206|5232|24|0|650|2016-08-01|2016-08-01
207|5233|24|0|634|2016-08-01|2016-08-01
208|5234|36|0|20|2016-08-01|2016-08-01
209|5234|24|20|588|2016-08-01|2016-08-01
210|5238|36|0|20|2016-08-01|2016-08-01
211|5238|24|20|536|2016-08-01|2016-08-01
212|5239|24|0|658|2016-08-01|2016-08-01
213|5240|24|0|633|2016-08-01|2016-08-01
214|5241|24|0|675|2016-08-01|2016-08-01
215|5251|11|0|618|2016-08-01|2016-08-01
216|5252|36|0|20|2016-08-01|2016-08-01
217|5252|24|20|660|2016-08-01|2016-08-01
218|5253|24|0|680|2016-08-01|2016-08-01
219|5279|24|0|842|2016-08-01|2016-08-01
220|5302|24|0|844|2016-08-01|2016-08-01
221|5340|30|0|790|2016-08-01|2016-08-01
222|5341|26|0|710|2016-08-01|2016-08-01
223|5342|24|0|828|2016-08-01|2016-08-01
224|5651|9|0|320|2016-08-01|2016-08-01
225|5669|36|0|20|2016-08-01|2016-08-01
226|5669|24|20|714|2016-08-01|2016-08-01
227|5715|30|0|275|2016-08-01|2016-08-01
228|5715|22|275|780|2016-08-01|2016-08-01
229|5734|25|0|755|2016-08-01|2016-08-01
230|5893|24|0|720|2016-08-01|2016-08-01
231|6125|25|0|601|2016-08-01|2016-08-01
232|6186|20|0|283|2016-08-01|2016-08-01
233|6567|25|0|542|2016-08-01|2016-08-01
234|6713|20|0|518|2016-08-01|2016-08-01
235|6973|10|0|265|2016-08-01|2016-08-01
236|7043|4.5|0|340|2016-08-01|2016-08-01
237|7050|9|0|535|2016-08-01|2016-08-01
238|7102|7.875|0|940|2016-08-01|2016-08-01
239|7110|9|0|605|2016-08-01|2016-08-01
240|7228|9|0|600|2016-08-01|2016-08-01
241|7248|9|0|655|2016-08-01|2016-08-01
242|8314|20|0|296|2016-08-01|2016-08-01
243|8563|17.5|0|579|2016-08-01|2016-08-01
244|8564|17.5|0|614|2016-08-01|2016-08-01
245|8565|17.5|0|628|2016-08-01|2016-08-01
246|8594|17.5|0|604|2016-08-01|2016-08-01
247|8595|17.5|0|560|2016-08-01|2016-08-01
248|8596|17.5|0|557|2016-08-01|2016-08-01
249|8600|4.5|0|380|2016-08-01|2016-08-01
250|85795|9|0|120|2016-08-02|2016-08-02
251|85987|6.5|0|180|2016-08-02|2016-08-02
252|86075|7.875|0|21|2016-08-02|2016-08-02
253|86075|6.75|21|140|2016-08-02|2016-08-02
254|86456|11|0|20|2016-08-02|2016-08-02
255|86456|8|20|40|2016-08-02|2016-08-02
256|86527|6.25|100|260|2016-08-02|2016-08-02
257|70163|8.75|0|408|2016-08-02|2016-08-02
258|139062|9|0|790|2016-08-02|2016-08-02
259|139063|8.75|0|480|2016-08-02|2016-08-02
260|80316|10.625|0|550|2016-08-02|2016-08-02
261|80318|8.75|0|550|2016-08-02|2016-08-02
262|80321|9.875|0|525|2016-08-03|2016-08-03
263|74135|20|0|250|2016-08-04|2016-08-04
264|74508|20|0|657|2016-08-04|2016-08-04
265|74690|26|0|678|2016-08-05|2016-08-05
266|74691|26|0|778|2016-08-05|2016-08-05
267|72848|18|0|188|2016-08-05|2016-08-05
268|139067|15|0|134|2016-08-18|2016-08-18
269|3830|10|0|120|2016-08-18|2016-08-18
270|14009|18|0|180|2016-08-29|2016-08-29
271|139068|7.825|0|300|2016-08-29|2016-08-29
272|139070|8|0|200|2016-08-29|2016-08-29
273|139071|8|0|20|2016-08-29|2016-08-29
274|139071|6.75|20|420|2016-08-29|2016-08-29
275|139072|8.5|0|200|2016-08-29|2016-08-29
276|139073|6.75|0|260|2016-08-29|2016-08-29
277|139073|8|0|260|2016-08-29|2016-08-29
278|139074|4|0|294|2016-08-29|2016-08-29
279|139075|8|0|320|2016-08-30|2016-08-30
280|15562|12.75|0|356|2016-08-30|2016-08-30
281|31467|24|0|490|2016-09-01|2016-09-01
282|33597|16.75|0|303|2016-09-02|2016-09-02
283|34726|16|0|201|2016-09-06|2016-09-06
284|139079|42|0|60|2016-09-06|2016-09-06
285|139079|30|0|643|2016-09-06|2016-09-06
286|139079|26|643|1050|2016-09-06|2016-09-06
287|139080|42|0|60|2016-09-06|2016-09-06
288|139080|30|0|655|2016-09-06|2016-09-06
289|139080|26|655|1040|2016-09-06|2016-09-06
290|34603|16|0|110|2016-09-06|2016-09-06
291|35143|15|0|240|2016-09-06|2016-09-06
292|47972|8.75|0|1210|2016-09-06|2016-09-06
293|35174|15|0|210|2016-09-07|2016-09-07
294|35175|15|0|200|2016-09-07|2016-09-07
295|36839|17|0|196|2016-09-07|2016-09-07
296|36927|9|0|145|2016-09-07|2016-09-07
297|36937|8|0|190|2016-09-07|2016-09-07
298|46578|9.875|0|1190|2016-09-07|2016-09-07
299|47948|16|0|12|2016-09-07|2016-09-07
300|47948|14|12|550|2016-09-07|2016-09-07
301|37132|10|0|271|2016-09-07|2016-09-07
302|37143|16|0|253|2016-09-08|2016-09-08
303|37219|12|0|160|2016-09-08|2016-09-08
304|37991|8|0|184|2016-09-09|2016-09-09
305|37419|8.75|0|70|2016-09-09|2016-09-09
306|37395|7|0|56|2016-09-09|2016-09-09
307|37516|8|0|108|2016-09-09|2016-09-09
308|37836|8.5|0|75|2016-09-09|2016-09-09
309|37844|10|0|76|2016-09-09|2016-09-09
310|38014|8|0|55|2016-09-09|2016-09-09
311|38354|16|0|108|2016-09-09|2016-09-09
314|139083|48|0|84|2016-09-13|2016-09-13
315|139083|30|0|646|2016-09-13|2016-09-13
316|139083|32|646|1050|2016-09-13|2016-09-13
317|21975|18|0|3201|2016-09-13|2016-09-13
318|47207|18|0|1360|2016-09-13|2016-09-13
319|139093|8.75|0|62|2016-09-14|2016-09-14
320|61957|7.875|0|122|2016-09-14|2016-09-14
321|139095|14|0|125|2016-09-15|2016-09-15
322|9411|22|0|344|2016-09-16|2016-09-16
323|10108|25|0|478|2016-09-16|2016-09-16
324|10121|25|0|380|2016-09-16|2016-09-16
325|10394|19|0|442|2016-09-16|2016-09-16
326|10407|15|0|217|2016-09-16|2016-09-16
327|10416|17.5|0|341|2016-09-16|2016-09-16
328|10991|15|0|330|2016-09-16|2016-09-16
329|11159|24|0|218|2016-09-16|2016-09-16
330|14453|16|0|270|2016-09-16|2016-09-16
331|15346|24|0|330|2016-09-16|2016-09-16
332|15347|24|0|325|2016-09-16|2016-09-16
333|15704|8.75|0|110|2016-09-16|2016-09-16
334|15778|24|0|247|2016-09-16|2016-09-16
335|15789|25|0|225|2016-09-16|2016-09-16
336|15816|10.625|0|185|2016-09-16|2016-09-16
337|139084|6.75|0|356|2016-09-16|2016-09-16
338|139096|6.75|0|211|2016-09-16|2016-09-16
339|15851|25|0|80|2016-09-19|2016-09-19
340|15853|10|0|100|2016-09-19|2016-09-19
341|15890|22|0|185|2016-09-19|2016-09-19
342|15909|24|0|270|2016-09-19|2016-09-19
343|15986|24|0|215|2016-09-19|2016-09-19
344|16128|10|0|75|2016-09-19|2016-09-19
345|16450|14.75|0|140|2016-09-19|2016-09-19
346|16697|9|0|165|2016-09-19|2016-09-19
347|16715|16|0|165|2016-09-19|2016-09-19
348|16729|10|0|160|2016-09-19|2016-09-19
349|16756|9|0|223|2016-09-19|2016-09-19
350|16775|9|0|220|2016-09-19|2016-09-19
351|16844|18|0|135|2016-09-19|2016-09-19
352|17603|26|0|185|2016-09-19|2016-09-19
353|18784|8.5|0|100|2016-09-19|2016-09-19
354|20332|20|0|42|2016-09-19|2016-09-19
355|20333|20|0|19|2016-09-19|2016-09-19
356|20334|20|0|18|2016-09-19|2016-09-19
357|20335|20|0|19|2016-09-19|2016-09-19
358|21630|14.75|0|735|2016-09-19|2016-09-19
359|21630|18|735|835|2016-09-19|2016-09-19
360|21651|9.875|0|771|2016-09-20|2016-09-20
361|22607|7.875|0|160|2016-09-20|2016-09-20
362|22608|14.75|0|172|2016-09-20|2016-09-20
363|22645|14.5|0|1400|2016-09-20|2016-09-20
364|22690|18.5|0|1670|2016-09-20|2016-09-20
365|22896|17.5|0|1168|2016-09-20|2016-09-20
366|22896|16|1168|1310|2016-09-20|2016-09-20
367|22896|8.5|1310|1322|2016-09-20|2016-09-20
368|22922|14.75|0|1400|2016-09-20|2016-09-20
369|22947|16|1634|1748|2016-09-20|2016-09-20
370|22947|12.25|0|1634|2016-09-20|2016-09-20
371|22963|18|1310|1490|2016-09-20|2016-09-20
372|22963|14.75|0|1310|2016-09-20|2016-09-20
373|22978|12.25|0|1460|2016-09-20|2016-09-20
374|23002|8.5|0|1137|2016-09-20|2016-09-20
375|23004|15|2336|2474|2016-09-20|2016-09-20
376|23004|14.75|0|2336|2016-09-20|2016-09-20
377|23019|18|1990|2295|2016-09-20|2016-09-20
378|23019|15|0|1990|2016-09-20|2016-09-20
379|23019|12.25|2295|2399|2016-09-20|2016-09-20
380|23042|16|1492|1668|2016-09-20|2016-09-20
381|23042|14.75|0|1492|2016-09-20|2016-09-20
382|23043|18|0|30|2016-09-20|2016-09-20
383|23043|12.25|30|1601|2016-09-20|2016-09-20
384|23074|22|0|270|2016-09-20|2016-09-20
385|23084|20|0|30|2016-09-20|2016-09-20
386|23084|14|1358|1450|2016-09-20|2016-09-20
387|23084|12.25|30|1358|2016-09-20|2016-09-20
388|23087|17.75|0|1630|2016-09-20|2016-09-20
389|23118|14.75|0|978|2016-09-21|2016-09-21
390|23118|14|978|1091|2016-09-21|2016-09-21
391|23118|8.5|1091|1538|2016-09-21|2016-09-21
392|23119|14|2550|2695|2016-09-21|2016-09-21
393|23119|12.25|0|2550|2016-09-21|2016-09-21
394|23119|12|2695|2728|2016-09-21|2016-09-21
395|23124|14.75|0|1500|2016-09-21|2016-09-21
396|23126|16|0|2525|2016-09-21|2016-09-21
397|23154|14.75|0|1924|2016-09-21|2016-09-21
398|23154|9.875|1924|2036|2016-09-21|2016-09-21
399|23155|14|1595|1735|2016-09-21|2016-09-21
400|23155|12.25|0|1595|2016-09-21|2016-09-21
401|23155|12.25|1735|1760|2016-09-21|2016-09-21
402|23158|14.75|0|1852|2016-09-21|2016-09-21
403|23158|9.875|1852|2008|2016-09-21|2016-09-21
404|58133|12|0|298|2016-09-21|2016-09-21
405|58134|8.75|0|707|2016-09-21|2016-09-21
406|121155|26|0|675|2016-09-21|2016-09-21
407|139100|7.875|0|147|2016-09-22|2016-09-22
408|23982|7.25|0|180|2016-09-26|2016-09-26
409|139110|7.875|0|220|2016-09-26|2016-09-26
410|139102|12.25|0|270|2016-09-26|2016-09-26
411|139104|22|0|663|2016-09-26|2016-09-26
412|139112|7.875|0|197|2016-09-28|2016-09-28
413|139113|6.25|100|580|2016-09-28|2016-09-28
414|139113|4.5|0|100|2016-09-28|2016-09-28
415|139114|7.875|0|197|2016-09-28|2016-09-28
416|139122|8.75|0|258|2016-09-28|2016-09-28
417|23202|14|968|1204|2016-10-04|2016-10-04
418|23202|12.25|0|968|2016-10-04|2016-10-04
419|23202|12.25|1204|1300|2016-10-04|2016-10-04
420|23203|16.25|0|1360|2016-10-04|2016-10-04
421|23204|16|0|1522|2016-10-04|2016-10-04
422|23216|17.5|0|1140|2016-10-04|2016-10-04
423|23217|17|894|1215|2016-10-04|2016-10-04
424|23217|14.75|0|894|2016-10-04|2016-10-04
425|23217|7.875|1215|1238|2016-10-04|2016-10-04
426|23221|12.25|0|1120|2016-10-04|2016-10-04
427|23252|18.625|0|2232|2016-10-04|2016-10-04
428|23287|16.75|0|1672|2016-10-04|2016-10-04
429|23287|10|1672|1784|2016-10-04|2016-10-04
430|23319|14|1070|1315|2016-10-04|2016-10-04
431|23319|12.25|0|1070|2016-10-04|2016-10-04
432|23346|36|0|55|2016-10-04|2016-10-04
433|23346|26|2189|2432|2016-10-04|2016-10-04
434|23346|24|55|2189|2016-10-04|2016-10-04
435|23508|14.75|0|485|2016-10-04|2016-10-04
436|23508|8.5|485|520|2016-10-04|2016-10-04
437|139131|25|0|201|2016-10-05|2016-10-05
438|139132|14.75|0|138|2016-10-05|2016-10-05
439|139136|20|0|155|2016-10-05|2016-10-05
440|139137|18|0|140|2016-10-05|2016-10-05
441|57870|4.5|0|248|2016-10-06|2016-10-06
442|59500|6.25|0|441|2016-10-06|2016-10-06
443|93803|6.5|0|645|2016-10-06|2016-10-06
444|93806|4.75|0|330|2016-10-06|2016-10-06
445|94292|6.875|0|682|2016-10-06|2016-10-06
446|97134|4.75|0|1060|2016-10-06|2016-10-06
447|97148|4|0|273|2016-10-06|2016-10-06
448|58242|4|0|110|2016-10-06|2016-10-06
449|58275|8|0|38|2016-10-06|2016-10-06
450|58533|6.5|0|250|2016-10-06|2016-10-06
451|58699|10.75|0|360|2016-10-06|2016-10-06
452|58747|6.5|0|446|2016-10-06|2016-10-06
453|58804|4.75|0|268|2016-10-06|2016-10-06
454|58969|6.5|0|539|2016-10-06|2016-10-06
455|58110|4|0|130|2016-10-06|2016-10-06
456|58223|9|0|466|2016-10-06|2016-10-06
457|58350|6.25|0|242|2016-10-06|2016-10-06
458|58379|9.875|0|350|2016-10-06|2016-10-06
459|58637|4.75|0|326|2016-10-06|2016-10-06
460|57221|12.5|0|270|2016-10-06|2016-10-06
461|57221|7.875|270|370|2016-10-06|2016-10-06
462|57221|5|370|540|2016-10-06|2016-10-06
463|57224|15.5|0|840|2016-10-06|2016-10-06
464|139140|12.25|0|200|2016-10-06|2016-10-06
465|139141|22|0|100|2016-10-06|2016-10-06
466|57233|3|0|57|2016-10-06|2016-10-06
467|57560|6.5|0|169|2016-10-06|2016-10-06
468|57587|6.75|0|654|2016-10-06|2016-10-06
469|57748|6.75|0|221|2016-10-06|2016-10-06
470|59286|6.875|0|490|2016-10-06|2016-10-06
471|59286|4.75|490|685|2016-10-06|2016-10-06
472|59296|6.25|0|731|2016-10-06|2016-10-06
473|59301|6.875|0|402|2016-10-06|2016-10-06
474|59301|4.75|402|432|2016-10-06|2016-10-06
475|59498|12.25|0|1310|2016-10-06|2016-10-06
476|59498|16|1080|1202|2016-10-06|2016-10-06
477|139150|18|0|140|2016-10-07|2016-10-07
478|139151|9.5|0|204|2016-10-20|2016-10-20
479|139151|5.125|204|1100|2016-10-20|2016-10-20
480|139154|7.5|0|10|2016-11-02|2016-11-02
481|139154|6.75|10|390|2016-11-02|2016-11-02
482|139154|3.875|390|460|2016-11-02|2016-11-02
483|139155|9|0|24|2016-11-03|2016-11-03
484|139155|6.75|24|25|2016-11-03|2016-11-03
485|139155|6|25|100|2016-11-03|2016-11-03
486|23057|8.625|0|1427|2016-11-21|2016-11-21
487|23057|4.5|1427|1525|2016-11-21|2016-11-21
488|23057|14|1525|1595|2016-11-21|2016-11-21
490|21724|7|0|50|2016-11-21|2016-11-21
491|21724|5.75|50|177|2016-11-21|2016-11-21
492|23713|8.5|0|148|2016-11-21|2016-11-21
493|23282|18.75|0|2839|2016-11-22|2016-11-22
494|23282|12.25|2839|3105|2016-11-22|2016-11-22
495|24075|7|0|250|2016-11-22|2016-11-22
496|22793|8|0|179|2016-11-22|2016-11-22
497|46637|9.875|0|1450|2016-11-22|2016-11-22
498|46637|7.875|1450|1610|2016-11-22|2016-11-22
499|22659|15|0|1522|2016-11-22|2016-11-22
500|22825|15|0|280|2016-11-22|2016-11-22
501|22901|15|0|1520|2016-11-22|2016-11-22
502|22611|6.625|0|375|2016-11-22|2016-11-22
503|22644|6.25|0|235|2016-11-22|2016-11-22
504|23754|8.5|0|348|2016-11-22|2016-11-22
505|24107|9.875|0|1301|2016-11-22|2016-11-22
506|139165|9|0|525|2016-11-28|2016-11-28
508|139167|9|0|50|2016-12-07|2016-12-07
509|139167|6.25|50|470|2016-12-07|2016-12-07
510|139168|8.8|0|840|2016-12-08|2016-12-08
511|139169|9|0|370|2016-12-08|2016-12-08
512|139170|9|0|910|2016-12-09|2016-12-09
513|139171|9.25|0|170|2016-12-09|2016-12-09
514|139171|7.78|170|408|2016-12-09|2016-12-09
515|139172|9|0|350|2016-12-09|2016-12-09
516|139173|8.75|0|580|2016-12-12|2016-12-12
517|139174|9|0|370|2016-12-12|2016-12-12
519|139175|9|0|380|2016-12-13|2016-12-13
520|29274|25|0|156|2016-12-19|2016-12-19
521|29692|16|0|105|2016-12-20|2016-12-20
522|29795|15|0|70|2016-12-20|2016-12-20
523|29531|12.25|0|421|2016-12-20|2016-12-20
524|28411|11|0|32|2016-12-20|2016-12-20
525|30183|8.75|0|52|2016-12-20|2016-12-20
526|39216|9|0|80|2016-12-20|2016-12-20
527|38832|7|0|145|2016-12-20|2016-12-20
528|39027|8|0|73|2016-12-20|2016-12-20
529|27918|9|0|59|2016-12-20|2016-12-20
530|51692|36|0|32|2016-12-21|2016-12-21
531|51179|7.625|0|313|2016-12-21|2016-12-21
532|51330|7.875|0|255|2016-12-21|2016-12-21
533|51330|4.75|255|320|2016-12-21|2016-12-21
534|51306|6.75|0|180|2016-12-21|2016-12-21
535|51261|6.75|0|962|2016-12-21|2016-12-21
536|51188|6.75|0|630|2016-12-21|2016-12-21
537|51188|3.875|630|671|2016-12-21|2016-12-21
538|22147|5.625|0|300|2016-12-21|2016-12-21
539|23173|9|0|2388|2016-12-21|2016-12-21
540|22170|5.625|0|480|2016-12-21|2016-12-21
541|22169|5.625|0|316|2016-12-21|2016-12-21
542|22172|5.625|0|370|2016-12-21|2016-12-21
543|22079|6.5|0|298|2016-12-21|2016-12-21
544|22376|40|0|47|2016-12-21|2016-12-21
