WellTestId|StateWellId|TestTypeId|TestTypeOtherDesc|Yield|Drawdown|TestHours|WellTestMonth|WellTestDay|WellTestYear|WellTestDate|CreatedDate|LastUpdateDate
99|66392|10||5.08|41.9|4|8|9|2001|2001-08-09|2016-06-24|2017-02-14
100|66428|2||175|||3|29|2002|2002-03-29|2016-06-24|
101|66429|10||300|||3|29|2002|2002-03-29|2016-06-24|
102|66458|13||250||0|||1990||2016-06-24|
103|66491|10||281|||8|28|1950|1950-08-28|2016-06-24|
104|66491|10||281||0|8|28|1950|1950-08-28|2016-06-24|
105|66505|10||250||0|1||1949||2016-06-24|
106|66509|10||250||0|||1991||2016-06-24|
107|66510|10||80||0|12|10|1989|1989-12-10|2016-06-24|
108|66511|13||250||0|12|19|1989|1989-12-19|2016-06-24|
109|66512|13||35||48|8|20|1995|1995-08-20|2016-06-24|
110|66519|13||200||0|1|10|1986|1986-01-10|2016-06-24|
111|66521|13||300||0|2|8|1991|1991-02-08|2016-06-24|
112|66538|13||270||0|||1948||2016-06-24|
113|66538|2||132|||8|30|1950|1950-08-30|2016-06-24|
114|66545|13||5||0|5|22|1973|1973-05-22|2016-06-24|
115|66546|13||30||0|4|16|1983|1983-04-16|2016-06-24|
116|66552|2||20||0|5|6|1983|1983-05-06|2016-06-24|
117|66590|13||1200||0|3|27|1969|1969-03-27|2016-06-24|
118|66604|13||20||0|9|27|1966|1966-09-27|2016-06-24|
119|66625|2||10||0|10|20|1966|1966-10-20|2016-06-24|
120|66626|10||10||0|10|20|1968|1968-10-20|2016-06-24|
121|66627|10||10||0|10|20|1966|1966-10-20|2016-06-24|
122|66631|10||50||0|12|10|1969|1969-12-10|2016-06-24|
123|66650|13||30|||8|14|1968|1968-08-14|2016-06-24|
124|66660|13||250||0|8|16|1967|1967-08-16|2016-06-24|
125|66669|2||18||0|5|27|1987|1987-05-27|2016-06-24|
126|66670|11||35|40|1|5|27|1986|1986-05-27|2016-06-24|
127|66676|10||21||0|10|18|1967|1967-10-18|2016-06-24|
128|66677|10||14||0|8|22|1967|1967-08-22|2016-06-24|
129|66679|13||50||0|8|14|1968|1968-08-14|2016-06-24|
130|66719|13||40||0|||1928||2016-06-24|
131|66757|2||50||0|||1912||2016-06-24|
132|66764|2||70||0|9|24|1983|1983-09-24|2016-06-24|
133|66770|2||140||0|4|21|1983|1983-04-21|2016-06-24|
134|66772|2||70||0|4|19|1983|1983-04-19|2016-06-24|
135|66895|2||4||0|||1956||2016-06-24|
136|66896|2||8||0|||1963||2016-06-24|
137|66898|2||400||0|||1956||2016-06-24|
138|66905|13||3||0|10|23|1964|1964-10-23|2016-06-24|
139|66948|13||30||0|8|28|1967|1967-08-28|2016-06-24|
140|67096|2||1560||0|12||1956||2016-06-24|
141|67239|13||22||0|1|8|1962|1962-01-08|2016-06-24|
142|69126|11||50||0|8|21|1978|1978-08-21|2016-06-24|
143|69130|10||800||0|2|29|1968|1968-02-29|2016-06-24|
144|69162|10||5||1.5|12|9|1965|1965-12-09|2016-06-24|
145|69169|10||2||0|12|10|1965|1965-12-10|2016-06-24|
146|69170|10||4||0|12|9|1965|1965-12-09|2016-06-24|
147|69171|10||5||0|12|9|1965|1965-12-09|2016-06-24|
148|69187|10||2||0|11|18|1965|1965-11-18|2016-06-24|
149|69192|1|Flowed|2||0.3|12|11|1965|1965-12-11|2016-06-24|
150|69193|2||175||48|||||2016-06-24|
151|69203|10||330|90|3|||1961||2016-06-24|
152|69204|10||111||0|2|10|1960|1960-02-10|2016-06-24|
153|69209|10||88||0|8|25|1965|1965-08-25|2016-06-24|
154|69210|1|Flowed|81||0|10|25|1965|1965-10-25|2016-06-24|
155|69213|2||300||0|||||2016-06-24|
156|69215|1|Flowed|105||0|12||1960||2016-06-24|
157|69219|1|Flowed|102||15|11|17|1965|1965-11-17|2016-06-24|
158|69220|1|Flowed|125||0|10|20|1965|1965-10-20|2016-06-24|
159|69222|1|Flowed|3||0|10|20|1965|1965-10-20|2016-06-24|
160|69227|2||125||20|2|4|1966|1966-02-04|2016-06-24|
161|69249|10||150||7.5|5|22|1961|1961-05-22|2016-06-24|
162|69250|10||151|100|4|3|8|1963|1963-03-08|2016-06-24|
163|69251|1|Flowed|100|110|5.5|4|16|1963|1963-04-16|2016-06-24|
164|69254|10||127|114|10.5|3|13|1963|1963-03-13|2016-06-24|
165|69255|2||104|24|4.5|3|18|1963|1963-03-18|2016-06-24|
166|69256|10||100|57|6|5|8|1963|1963-05-08|2016-06-24|
167|69257|10||151|37|4.75|6|29|1963|1963-06-29|2016-06-24|
168|69257|10||151|37|4.75|6|29|1963|1963-06-29|2016-06-24|
169|69262|10||49||0|5|23|1964|1964-05-23|2016-06-24|
170|69263|1|Flowed|22||0|5|2|1964|1964-05-02|2016-06-24|
171|69264|2||39||0|10|10|1964|1964-10-10|2016-06-24|
172|69277|10||164||36|9||1964||2016-06-24|
173|69280|2||123||4|1||1965||2016-06-24|
174|69283|13||146||0|2|1|1965|1965-02-01|2016-06-24|
175|69707|2||45||0|2|10|1966|1966-02-10|2016-06-24|
176|69709|2||153||0|1|25|1954|1954-01-25|2016-06-24|
177|69726|1|Flowed|2||0|12|14|1965|1965-12-14|2016-06-24|
178|69727|10||96|3|12|10||1953||2016-06-24|
179|69728|2||4||0|3|6|1966|1966-03-06|2016-06-24|
180|69734|10||151|30|5.5|6|13|1963|1963-06-13|2016-06-24|
181|69735|10||131|107|24|6|10|1963|1963-06-10|2016-06-24|
182|69744|11||150||0.75|10|30|1958|1958-10-30|2016-06-24|
183|69748|10||2||0|2|23|1966|1966-02-23|2016-06-24|
184|69751|2||34||0|10|28|1965|1965-10-28|2016-06-24|
185|69753|1|Flowed|71||0|10|28|1965|1965-10-28|2016-06-24|
186|69754|2||250||0|4||1965||2016-06-24|
187|69756|1|Flowed|250||0|3|6|1956|1956-03-06|2016-06-24|
188|70121|2||300||1|2|15|1965|1965-02-15|2016-06-24|
189|70139|1|Flowed|2||0|10|6|1965|1965-10-06|2016-06-24|
190|70141|2||140||22.5|9|14|1966|1966-09-14|2016-06-24|
191|70141|2||22||0|9|14|1955|1955-09-14|2016-06-24|
192|70144|13||1||0.25|2|22|1966|1966-02-22|2016-06-24|
193|70145|2||3||0|3|23|1966|1966-03-23|2016-06-24|
194|70168|2||25||0|10|27|1965|1965-10-27|2016-06-24|
195|70169|10||20|31|0|7|26|1964|1964-07-26|2016-06-24|
196|70174|10||173||24|||1949||2016-06-24|
197|70194|2||2||0|10|11|1963|1963-10-11|2016-06-24|
198|70195|2||1||0.5|3|23|1966|1966-03-23|2016-06-24|
199|70196|1|Flowed|2||0|1|12|1966|1966-01-12|2016-06-24|
200|70202|13||3||0|1|12|1966|1966-01-12|2016-06-24|
201|70203|10||100||0|1|13|1963|1963-01-13|2016-06-24|
202|70205|2||1||0|1|13|1966|1966-01-13|2016-06-24|
203|70206|13||3||0|1|13|1966|1966-01-13|2016-06-24|
204|71841|2||53|33|101|4|28|1967|1967-04-28|2016-06-24|
205|71846|2||220|17|1|2|15|1967|1967-02-15|2016-06-24|
206|71848|2||15|||||||2016-06-24|
207|71850|2||40|27|1|||1967||2016-06-24|
208|71851|2||39|44|1|||1967||2016-06-24|
209|71866|2||50|40||||1969||2016-06-24|
210|71867|2||36|||||1967||2016-06-24|
211|71955|1|Flowed|2||0|11|24|1965|1965-11-24|2016-06-24|
212|71984|10||53|51|7|12|8|1965|1965-12-08|2016-06-24|
213|71984|10||53|50|7|11|24|1965|1965-11-24|2016-06-24|
214|71997|2||63|||||||2016-06-24|
215|72054|2||71|11||||||2016-06-24|
216|72055|2||3|||||1967||2016-06-24|
217|72056|2||100|||||||2016-06-24|
218|72057|2||15|||||||2016-06-24|
219|72063|2||70|||||||2016-06-24|
220|72071|2||450|||||1955||2016-06-24|
221|72077|2||160|62|24|11|20|1945|1945-11-20|2016-06-24|
222|72078|2||25|||||||2016-06-24|
223|72079|2||80|||||1941||2016-06-24|
224|72086|2||200|||||||2016-06-24|
225|72087|2||133|||||1955||2016-06-24|
226|72091|2||200|88|1|5|13|1967|1967-05-13|2016-06-24|
227|72097|2||131|48|24|5|24|1950|1950-05-24|2016-06-24|
228|72098|2||147|53|24|5|4|1950|1950-05-04|2016-06-24|
229|72121|2||35|50|2|||||2016-06-24|
230|72129|2||694|||||1987||2016-06-24|
231|72130|2||600|||||1987||2016-06-24|
232|72130|2||800|65||||1974||2016-06-24|
233|72146|2||15|54|2|5|11|1967|1967-05-11|2016-06-24|
234|72170|2||18|||||1965||2016-06-24|
235|72177|2||51|||||1991||2016-06-24|
236|72178|2||72|||||1991||2016-06-24|
237|72180|2||62|17|12|||1983||2016-06-24|
238|72188|2||107|||||1989||2016-06-24|
239|72192|2||151|||||1991||2016-06-24|
240|72200|2||160|||||||2016-06-24|
241|72202|2||153|||||1989||2016-06-24|
242|72203|2||108|||||1989||2016-06-24|
243|72205|2||131|||||1989||2016-06-24|
244|72226|2||50|||||1954||2016-06-24|
245|72227|2||100|||||1953||2016-06-24|
246|72228|2||120|||||1953||2016-06-24|
247|72235|2||80|||||||2016-06-24|
248|72243|1|Flowed|3||0|11|24|1965|1965-11-24|2016-06-24|
249|72248|1|Flowed|||0|11|24|1965|1965-11-24|2016-06-24|
250|72249|1|Flowed|13|||6|2|1983|1983-06-02|2016-06-24|
251|72249|1|Flowed|1||0|1|17|1966|1966-01-17|2016-06-24|
252|72254|1|Flowed|1||0|8|23|1961|1961-08-23|2016-06-24|
253|72254|2||1|||||||2016-06-24|
254|72256|1|Flowed|2||0.25|12|6|1965|1965-12-06|2016-06-24|
255|72257|1|Flowed|2||0|11|11|1965|1965-11-11|2016-06-24|
256|72258|1|Flowed|3||0|12|6|1965|1965-12-06|2016-06-24|
257|72259|1|Flowed|3||0|12|6|1965|1965-12-06|2016-06-24|
258|72260|1|Flowed|13||0|1|31|1966|1966-01-31|2016-06-24|
259|72263|1|Flowed|2||0|11|6|1965|1965-11-06|2016-06-24|
260|72264|10||88||2|12|8|1960|1960-12-08|2016-06-24|
261|72267|1|Flowed|3||0|12|3|1964|1964-12-03|2016-06-24|
262|72268|1|Flowed|2||0|12|6|1965|1965-12-06|2016-06-24|
263|72269|1|Flowed|3||0|12|6|1965|1965-12-06|2016-06-24|
264|72277|1|Flowed|3||0|11|6|1965|1965-11-06|2016-06-24|
265|72279|1|Flowed|2||0|11|6|1965|1965-11-06|2016-06-24|
266|72280|1|Flowed|35||0|||1961||2016-06-24|
267|72284|1|Flowed|2||0|11|10|1965|1965-11-10|2016-06-24|
268|72288|2||1||0|12|4|1965|1965-12-04|2016-06-24|
269|72289|1|Flowed|3||0|11|6|1965|1965-11-06|2016-06-24|
270|72296|10||1||0|12|29|1965|1965-12-29|2016-06-24|
271|72303|2||4||0|||||2016-06-24|
272|72304|1|Flowed|3||0|||||2016-06-24|
273|72310|1|Flowed|1||0|11|10|1965|1965-11-10|2016-06-24|
274|72311|1|Flowed|1||0|11|10|1965|1965-11-10|2016-06-24|
275|72321|2||260|||||||2016-06-24|
276|72324|2||1400|140||3||1977||2016-06-24|
277|72330|2||88|||||1957||2016-06-24|
278|72331|2||170|30||||1954||2016-06-24|
279|72331|2||248|66||||1954||2016-06-24|
280|72332|2||146|26||3||1967||2016-06-24|
281|72338|2||135|40|4|1|6|1961|1961-01-06|2016-06-24|
282|72340|2||3|||||||2016-06-24|
283|72342|2||21|||||||2016-06-24|
284|72343|2||97|||||||2016-06-24|
285|72345|2||555|37|3|6|22|1967|1967-06-22|2016-06-24|
286|72353|2||685|34|6|6|23|1967|1967-06-23|2016-06-24|
287|72355|2||70|||||||2016-06-24|
288|72361|2||1500|40|24|9||1952||2016-06-24|
289|72363|2||5|||||1967||2016-06-24|
290|72364|2||150|||||1952||2016-06-24|
291|72365|2||18|||||||2016-06-24|
292|72366|2||1|||||1967||2016-06-24|
293|72370|2||131|30||||1958||2016-06-24|
294|72378|2||710|112|720|6|22|1967|1967-06-22|2016-06-24|
295|72380|2||2|||||1967||2016-06-24|
296|72381|2||550|||||||2016-06-24|
297|72382|2||2|||||1967||2016-06-24|
298|72386|10||490|21.1|44.5|8|6|1967|1967-08-06|2016-06-24|
299|72394|2||400|21|12|2||1951||2016-06-24|
300|72409|2||250|37||3|4|1986|1986-03-04|2016-06-24|
301|72413|2||200|35|3|7||1966||2016-06-24|
302|72438|2||4|||||1967||2016-06-24|
303|72445|2||27|||||1967||2016-06-24|
304|72455|2||346|40|5|1||1957||2016-06-24|
305|72463|2||50|||||||2016-06-24|
306|72468|2||50|15|8|7|19|1982|1982-07-19|2016-06-24|
307|72469|2||70|22|8|7|27|1982|1982-07-27|2016-06-24|
308|72479|2||54|||||1981||2016-06-24|
309|72482|2||10|||||1981||2016-06-24|
310|72492|2||75|30|12|12||1986||2016-06-24|
311|72493|2||80|40|12|2||1987||2016-06-24|
312|72497|2||40|50|12|3||1987||2016-06-24|
313|72499|2||35|||||1985||2016-06-24|
314|72500|2||40|||||1985||2016-06-24|
315|72501|2||112|80||||1976||2016-06-24|
316|23960|10||281|97|36|9|22|2008|2008-09-22|2016-06-24|
317|24338|13||300|||10|23|2002|2002-10-23|2016-06-24|
318|24743|10||508|200|24|5|3|2002|2002-05-03|2016-06-24|
319|27076|10||400|11|24|6|25|2003|2003-06-25|2016-06-24|
320|27077|10||165|18|36|6|6|2005|2005-06-06|2016-06-24|
321|27078|10||65|16|36|6|6|2005|2005-06-06|2016-06-24|
322|40549|13||4||0|8|12|1969|1969-08-12|2016-06-24|
323|40549|13||7|22|0|4|19|1961|1961-04-19|2016-06-24|
324|40562|13||125||0|12|6|1968|1968-12-06|2016-06-24|
325|40589|13||73||0|2|3|1969|1969-02-03|2016-06-24|
326|40617|13||60||0|12|19|1965|1965-12-19|2016-06-24|
327|40618|13||80||0|12|18|1968|1968-12-18|2016-06-24|
328|40624|13||220||0|12|19|1968|1968-12-19|2016-06-24|
329|40627|13||170||0|12|19|1968|1968-12-19|2016-06-24|
330|40629|13||100||0|12|19|1968|1968-12-19|2016-06-24|
331|40630|13||70||0|12|19|1968|1968-12-19|2016-06-24|
332|40634|13||50||0|12|19|1968|1968-12-19|2016-06-24|
333|40635|13||60||32|12|19|1968|1968-12-19|2016-06-24|
334|40636|1|Flowed|331|1720|93.33|1|13|1959|1959-01-13|2016-06-24|
335|40637|10||96||0|4|21|1961|1961-04-21|2016-06-24|
336|40643|13||73|1|0|2|3|1969|1969-02-03|2016-06-24|
337|40647|13||14|20|0.75|6|3|1960|1960-06-03|2016-06-24|
338|40683|13||4||0|12|3|1968|1968-12-03|2016-06-24|
339|40738|13||150||0|1|21|2011|2011-01-21|2016-06-24|
340|40739|13||100||0|1|21|2011|2011-01-21|2016-06-24|
341|40741|10||70||0|12|10|2003|2003-12-10|2016-06-24|
342|40742|10||100||0|1|21|2011|2011-01-21|2016-06-24|
343|40755|13||25||0|1|24|2011|2011-01-24|2016-06-24|
344|40768|13||20||0|1|24|2011|2011-01-24|2016-06-24|
345|40790|13||10||0|6|23|1975|1975-06-23|2016-06-24|
346|43179|13||100||0|6|18|1974|1974-06-18|2016-06-24|
347|43183|13||150||0|7|3|1973|1973-07-03|2016-06-24|
348|47486|10||50|85|36|4|30|2003|2003-04-30|2016-06-24|
349|48162|10||86|35|1|10|8|2007|2007-10-08|2016-06-24|
350|50266|13||200|35|24|6|27|2003|2003-06-27|2016-06-24|
351|59861|10||140|272|18|4|26|1972|1972-04-26|2016-06-24|
352|62168|13||40|||||||2016-06-24|
353|62170|10||75|78|24|2||1970||2016-06-24|
354|62171|13||35-40|||0|0|1984||2016-06-24|2017-08-09
355|62344|12||200|||11|12|2001|2001-11-12|2016-06-24|
356|62697|13||2||0|5|28|1986|1986-05-28|2016-06-24|
357|62701|2||200||0|5|28|1986|1986-05-28|2016-06-24|
358|62725|13||10||0|9|19|1986|1986-09-19|2016-06-24|
359|62937|13||10||0|5|20|1986|1986-05-20|2016-06-24|
360|62941|13||4||0|5|21|1986|1986-05-21|2016-06-24|
361|62947|13||20||0|3|6|1984|1984-03-06|2016-06-24|
362|62952|2||60||0|||||2016-06-24|
363|64611|13||18||0|6|3|1960|1960-06-03|2016-06-24|
364|64676|2||16||0|3||1969||2016-06-24|
365|64681|2||330||0|9|24|1968|1968-09-24|2016-06-24|
366|64682|13||120||0|9|24|1968|1968-09-24|2016-06-24|
367|64683|13||33||0|9|2|1968|1968-09-02|2016-06-24|
368|64684|10||11||0|10|16|1968|1968-10-16|2016-06-24|
369|64689|2||161||0|5|2|1962|1962-05-02|2016-06-24|
370|64690|2||139||0|9|27|1968|1968-09-27|2016-06-24|
371|64692|2||108||0|5|1|1962|1962-05-01|2016-06-24|
372|64693|2||123||0|4|28|1962|1962-04-28|2016-06-24|
373|64801|10||28||2|11|23|2000|2000-11-23|2016-06-24|
374|64802|2||65||0|11|28|2000|2000-11-28|2016-06-24|
375|64803|10||30||48|11|30|2000|2000-11-30|2016-06-24|
376|64829|13||20||0|5|7|1986|1986-05-07|2016-06-24|
377|64834|13||30||0|5|8|1986|1986-05-08|2016-06-24|
378|64864|13||85||0|1|31|1968|1968-01-31|2016-06-24|
379|64865|13||3||0|3|24|1969|1969-03-24|2016-06-24|
380|64872|13||5||0|6|29|1982|1982-06-29|2016-06-24|
381|64878|12||75||0|7|5|1984|1984-07-05|2016-06-24|
382|64882|13||3||0|3|26|1969|1969-03-26|2016-06-24|
383|64890|13||3||0|5|19|1969|1969-05-19|2016-06-24|
384|64896|13||1||0|8|18|1969|1969-08-18|2016-06-24|
385|64897|13||2||0|8|18|1969|1969-08-18|2016-06-24|
386|64950|13||3||0|3|20|1969|1969-03-20|2016-06-24|
387|65029|13||5||0|2|7|1969|1969-02-07|2016-06-24|
388|65044|2||1||0|10|18|1968|1968-10-18|2016-06-24|
389|65073|1|Flowed|1||0|1|14|1969|1969-01-14|2016-06-24|
390|65086|2||70||0|1|9|1969|1969-01-09|2016-06-24|
391|65087|1|Flowed|1||0|1|9|1968|1968-01-09|2016-06-24|
392|65099|10||137||0|9|18|1968|1968-09-18|2016-06-24|
393|65151|13||10||0|5|11|1986|1986-05-11|2016-06-24|
394|65165|13||4||0|12|20|1976|1976-12-20|2016-06-24|
395|65192|13||3||0|5|2|1969|1969-05-02|2016-06-24|
396|65205|13||100||0|5|23|1961|1961-05-23|2016-06-24|
397|65223|2||700||0|||||2016-06-24|
398|65224|2||200||0|9|20|1968|1968-09-20|2016-06-24|
399|65231|10||35|11|4|1|23|1978|1978-01-23|2016-06-24|
400|65301|10||3||0|2|10|1969|1969-02-10|2016-06-24|
401|65322|2||60||0|4|23|1973|1973-04-23|2016-06-24|
402|65339|1|Flowed|1||0|1|7|1969|1969-01-07|2016-06-24|
403|65349|10||24||12|2|6|1969|1969-02-06|2016-06-24|
404|65372|13||235||0|9|19|1968|1968-09-19|2016-06-24|
405|65386|13||1||0|1|7|1969|1969-01-07|2016-06-24|
406|65391|10||30|||11|30|1995|1995-11-30|2016-06-24|
407|65400|13||300||0|6|27|1975|1975-06-27|2016-06-24|
408|65409|13||100||0|10|29|1973|1973-10-29|2016-06-24|
409|65415|10||250|10|24|9|19|1971|1971-09-19|2016-06-24|
410|65434|13||40||0|5|22|1986|1986-05-22|2016-06-24|
411|65508|2||30||0|||1956||2016-06-24|
412|65514|10||60|48|3|12|29|1990|1990-12-29|2016-06-24|
413|65514|12||60|48|3|12|29|1990|1990-12-29|2016-06-24|
414|65514|2||60||3|12|28|1990|1990-12-28|2016-06-24|
415|65569|2||20||0|9|30|1982|1982-09-30|2016-06-24|
416|65576|2||25||0|9|29|1982|1982-09-29|2016-06-24|
417|65577|2||80||0|9|29|1982|1982-09-29|2016-06-24|
418|65581|2||35||0|9|20|1982|1982-09-20|2016-06-24|
419|65612|13||80||0|||1927||2016-06-24|
420|65617|2||200||0|6|8|1950|1950-06-08|2016-06-24|
421|65702|13||300||0|6|27|1975|1975-06-27|2016-06-24|
422|65713|13||100||0|8|20|1986|1986-08-20|2016-06-24|
423|23217|10||230|60|36|7|24|2003|2003-07-24|2016-06-24|
424|36156|2||102|||||1982||2016-06-24|
425|36157|2||102|||||1982||2016-06-24|
426|36158|2||40|||||1976||2016-06-24|
427|36159|2||40|||||1977||2016-06-24|
428|36278|2||300|||||||2016-06-24|
429|38647|13||3||0|4|4|1969|1969-04-04|2016-06-24|
430|38648|13||3||0|4|4|1969|1969-04-04|2016-06-24|
431|38687|13||200||0|4|9|1969|1969-04-09|2016-06-24|
432|49405|10||204|140|36|6|10|2009|2009-06-10|2016-06-24|
433|53595|10||254|120|36|7|25|2006|2006-07-25|2016-06-24|
434|54127|2||170|||||1959||2016-06-24|
435|54133|10||250|119|36|5||1991||2016-06-24|2016-06-29
436|54134|10||245|145|36|4|7|2004|2004-04-07|2016-06-24|
437|54150|10||250|50|24|5||1980||2016-06-24|
438|54153|10||250|79|36|4|29|1990|1990-04-29|2016-06-24|
439|56708|10||140|70|72|4|2|1988|1988-04-02|2016-06-24|
440|63269|13||3||0|1|19|1983|1983-01-19|2016-06-24|
441|63646|13||20||0|4|30|1986|1986-04-30|2016-06-24|
442|63679|13||15||0|5|20|1986|1986-05-20|2016-06-24|
