WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
585|46555|POTASIUM|POTASSIUM, FIELD FILTERED, ACIDIFIED W/HNO3, MG/L|DISSOLVE|MG/L||
586|46556|SODIUM|SODIUM, FIELD FILTERED, ACIDIFIED W/HNO3, MG/L|DISSOLVE|MG/L||
587|46560|CHROMIUM|CHROMIUM, FIELD ACIDIFIED W/HNO3, FILTERED, UG/L|DISSOLVE|UG/L||
588|46563|IRONFE|IRON, FIELD FILTERED, ACIDIFIED W/HNO3, UG/L|DISSOLVE|UG/L||
589|46564|LEAD,PB|LEAD, FIELD FILTERED, ACIDIFIED W/HNO3, UG/L|DISSOLVE|UG/L||
590|46565|MNGANESE|MANGANESE, FIELD FILTERED, ACIDIFIED W/HNO3, UG/L|DISSOLVE|UG/L||
591|46566|SILVER|SILVER, FIELD FILTERED, ACIDIFIED W/HNO3, UG/L|DISSOLVE|UG/L||
592|46570|CALHARD|HARDNESS, CA MG CALCULATED (MG/L AS CACO3)|CA MG|MG/L||
593|48297|STRONTIUM-86/STRONTIUM-87|STRONTIUM, ISOTOPE OF MASS 86 AND 87 RATIO|Sr 86/87|N/A ||
594|49229|METHOMYL|METHOMYL, WATER, DISSOLVED, UG/L|DISS|UG/L||
595|49235|TRCLOPYR|TRICLOPYR, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
596|49236|PROPHAM|PROPHAM, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
597|49260|ACETOCH-|ACETOCHLOR, WATER, FILTERED REC, UG/L|LOT TOTL|UG/L||
598|49291|PICLORAM|PICLORAM, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
599|49292|ORYZALIN|ORYZALIN (SURFLAN), WATER, .7 U FILT, TOT REC,UG/L|TOT REC|UG/L||
600|49293|NORFLUR-|NORFLURAZON, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
601|49294|NEBURON|NEBURON, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
602|49295|1-NAPTHL|1-NAPHTHOL, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
603|49296|METHOMYL|METHOMYL, WATER FILTERED, GF O.7U, REC|FLTRD|UG/L||
604|49297|FENURON|FENURON, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
605|49298|ESFENVAL|ESFENVALERATE, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
606|49299|OCRESOL4|OCRESOL 4, 6-DINITRO,.7U FILT,WATER,TOT RECV,UG/L|TOT REC|UG/L||
607|49300|DIURON|DIURON, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
608|49301|DINOSEB|DINOSEB, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
609|49302|DCLRPROP|DICHLORPROP, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT RECS|UG/L||
610|49303|DICHLOB|DICHLOBENIL, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
611|49304|DTLMACID|DACTHAL MONOACID, WATER, 0.7 UM FILT, TOT REC,UG/L|TOT REC|UG/L||
612|49305|CLPYRLID|CLOPYRALID, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
613|49306|CHLORTHL|CHLOROTHALONIL, DISSOLVED, UG/L|ONIL DIS|UG/L||
614|49307|AMIBEN|AMIBEN, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
615|49308|3HYDRXYC|3-HYDROXY CARBOFURAN, WATER, .7U FILT,TOT REC UG/L|BOFURAN|UG/L||
616|49309|CRBFURAN|CARBOFURAN, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
617|49310|CARBARYL|CARBARYL, WATER, 0.7 UM FILT, TOT RECV, UG/L|TOT REC|UG/L||
618|49311|BROMOXY-|BROMOXYNIL, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT RECV|UG/L||
619|49312|ALDICARB|ALDICARB, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
620|49313|ALDCDSUL|ALDICARB SULFONE, .7 U FILT, TOT RECV, WATER,UG/L|TOT REC|UG/L||
621|49314|ALDICARD|ALDICARB SULFOXIDE, WATER, .7U FILT, TOT REC,UG/L|SULFXIDE|UG/L||
622|49315|ACFLRFEN|ACIFLUORFEN, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT RECV|UG/L||
623|49482|CL-36WA|CHLORINE-36 ISOTOPIC RATIO, WATER, UNFILTERED|CL-36 WA|||
624|49932|SULFUR-34/SULFUR-32|SULFUR-34/32 OF SULFATE, DISSOLVED, PER MIL|S34/S32|0/00||
