WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
777|78015|ETHMETH|ETHYL METHYL PHENOL IN WATER, UG/L|PHENOL|UG/L||
778|78032|TRBTYLME|TERT-BUTYLMETHYLETHER, TOTAL RECOVERABLE, UG/L|ETHR TOT|UG/L||
779|78033|METHOXY|METHOXY PHENOL, TOTAL, UG/L|PHENOL|UG/L||
780|78064|NORFLURA|NORFLURAZON, TOTAL, UG/L|ZON TOT|UG/L||
781|78076|PHENYL|PHENYL ETHANONE IN WATER, UG/L|ETHANONE|UG/L||
782|78109|PROPENE3|PROPENE 3-CHLORO, WATER, UNFLTRD, REC|CHLORO|UG/L||
783|78113|ETHYLBEN|ETHYLBENZENE  IN WATER, UG/L|ZENE TOT|UG/L||
784|78115|TOX|HALOGEN, TOTAL ORGANIC, UG/L|HALOGEN|UG/L||
785|78124|BENZENE|BENZENE, VOLATILE ANALYSIS, TOTAL, UG/L|TOTAL|UG/L||
786|78131|TOLUENE|TOLUENE, VOLATILE ANALYSIS, TOTAL, UG/L|TOTAL|UG/L||
787|78132|P-XYLENE|P-XYLENE, TOTAL, UG/L|TOTAL|UG/L||
788|78133|METHYLIS|METHYL-ISOBUTYL KETONE, WHOLE WATER, TOTAL|BUKETONE|UG/L||
789|78168|CARBA-|CARBAMATES, UG/L|MATES|UG/L||
790|78170|TRICHLOR|TRICHLOROBENZENES, TOTAL, UG/L|BENZENES|UG/L||
791|78200|NDEA|N-NITROSODIETHYLAMINE IN WHOLE WATER, UG/L|TOTAL|UG/L||
792|78207|NDBA|N-NITROSODIBUTYLAMINE IN WHOLE WATER, UG/L|TOTAL|UG/L||
793|78248|CYANIDE|CYANIDE, TOTAL, UG/L|TOTAL|UG/L||
794|78383|BROMO|BROMOMETHANE, TOTAL, UG/L|METHANE|UG/L||
795|78721|PHTHALAT|PHTHALATES, TOTAL, MG/L|TOTAL|MG/L||
796|78750|DICHLOR|DICHLOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
797|78756|DIBROMO|DIBROMOMETHANE, TOTAL, UG/L|METHANE|UG/L||
798|78884|SURFLAN|SURFLAN (ORYZALIN), TOTAL, UG/L|TOTAL|UG/L||
799|78885|DIQUAT|DIQUAT DIBROMIDE (REGLONE), TOTAL, UG/L|DIBRMIDE|UG/L||
800|78942|1CH-2MTH|1-CHLORO-2-METHYLBENZENE, TOTAL, UG/L|BENZENE|UG/L||
801|79132|CHLORO|CHLOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
802|79136|FLTRICL|FLUOROTRICHLOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
803|79190|PNDMTLIN|PENDIMETHALIN, TOTAL, UG/L|TOTAL|UG/L||
804|79191|AMBUSH|AMBUSH (PERMETHRIN), TOTAL, UG/L|TOTAL|UG/L||
805|79192|PEBULATE|PEBULATE, TOTAL, UG/L|TOTAL|UG/L||
806|79193|ACIFLUOR|ACIFLUORFEN, TOTAL, UG/L|FEN TOT|UG/L||
807|79197|NAPROMID|NAPROPAMIDE, TOTAL, UG/L|TOTAL|UG/L||
808|79743|GLYPHSAT|GLYPHOSATE, TOTAL, UG/L|TOTAL|UG/L||
809|79778|CRESOL-|CRESOL, M- & P-, TOTAL (UG/L)|M & P|UG/L||
810|80000|ALPHA|ALPHA ACTIVITY, PC/MG|ACTIVITY|PC/M||
811|80001|BETA|BETA ACTIVITY, PC/MG|ACTIVITY|PC/M||
812|80002|ALPHAND|ALPHA AND BETA ACTIVITY, TOTAL, PC/L|BETA ACT|PC/L||
813|80020|URANIUM|URANIUM, DISSOLVED BY EXTRACTION, UG/L|DISS EXT|UG/L||
814|80045|ALPHA-GR|ALPHA GROSS PARTICLE ACTIVITY, TOTAL, PC/L|ACTIVITY|PC/L||
815|80050|BETA-GR|GROSS BETA, DISSOLVED (PCI/L AS SR/Y-90)|SR/Y-90|pCi/L||
816|80060|BETAGRS|BETA, SUSPENDED GROSS, AS SR-Y-90, PC/L|SUSPEND|PC/L||
817|80107|SULFUR|SULFUR, TOTAL, MG/L|TOTAL|MG/L||
818|81277|PURGE|PURGEABLE ORGANIC CARBON, UG/L|ORG C|UG/L||
819|81284|TREFLAN|TRIFLURALIN (TREFLAN), TOTAL, UG/L|TOTAL|UG/L||
820|81291|PHOALONE|PHOSALONE, TOTAL, UG/L|TOTAL|UG/L||
821|81294|FONOFOS|DYFONATE (FONOFOS), TOTAL, UG/L|TOTAL|UG/L||
822|81295|DEF|DEF (TRIBUFOS), TOTAL, UG/L|TOTAL|UG/L||
823|81302|DIBENZO|DIBENZOFURAN IN WHOLE WATER, UG/L|FURAN|UG/L||
824|81316|PCNB|PENTACHLORONITROBENZENE, TOTAL, UG/L|TOTAL|UG/L||
825|81322|CHLORPRO|CHLORPROPHAM (CIPC), TOTAL, UG/L|PHAM TOT|UG/L||
826|81336|HYDRO|HYDROCARBON, TOTAL, UG/L|CARBON|UG/L||
827|81366|RA-228|RADIUM 228, DISSOLVED (PC/L AS RA-228)|228, DIS|PC/L||
828|81397|CHLORNAT|CHLORINATED ORGANIC COMPOUNDS, MG/L|ORGANICS|MG/L||
829|81403|DURSBAN|DURSBAN (CHLOROPYRIFOS), TOTAL, UG/L|TOTAL|UG/L||
830|81405|CRBFURAN|CARBOFURAN (EURADAN), TOTAL, UG/L|TOTAL|UG/L||
831|81408|METRIBUZ|METRIBUZIN (SENCOR, LEXONE), TOTAL, UG/L|IN TOTAL|UG/L||
832|81410|BUTYLATE|BUTYLATE (SUTAN), TOTAL, UG/L|TOTAL|UG/L||
833|81522|DIBROMO|DIBROMOETHANE, TOTAL, UG/L|ETHANE|UG/L||
834|81524|DICHLORO|DICHLOROBENZENE, TOTAL, UG/L|BENZENE|UG/L||
835|81551|XYLENE|XYLENE, TOTAL, UG/L|TOTAL|UG/L||
836|81552|ACETONE|ACETONE, TOTAL, UG/L|TOTAL|UG/L||
837|81555|BROMO|BROMOBENZENE, TOTAL, UG/L|BENZENE|UG/L||
838|81570|CYCLOHEX|CYCLOHEXANE, TOTAL, UG/L|ANE TOT|UG/L||
839|81575|DICHLORO|DICHLOROIODOMETHANE, TOTAL, UG/L|IODOMTH|UG/L||
840|81576|ETHERET|ETHER ETHYL, WATER UNFLTRD, RECOVER|HYL REC|UG/L||
841|81577|DI-ISOP|DI-ISOPROPYLETHER, WATER, UNFLTRD, REC|RPYL ETH|UG/L||
842|81589|HEPTENE|HEPTENE IN WATER, UG/L|TOTAL|UG/L||
843|81593|METHACRY|METHACRYLONITRATE, WATER, UNFLTRD, REC|NITRITE|UG/L||
844|81595|MTHLETHL|METHYL ETHYL KETONE, TOTAL, UG/L|KETONE|UG/L||
845|81597|METHYL|METHYL METHACRYLATE, TOTAL, UG/L|METHACRL|UG/L||
846|81607|TETRAHY|TETRAHYDROFURAN, TOTAL, UG/L|DROFURAN|UG/L||
847|81611|CHL-FLR|TRICHLOROTRIFLUOROETHANE, TOTAL, UG/L|ETHANE|UG/L||
848|81649|PCB-1262|PCB - 1262 (ARACLOR), TOTAL, UG/L|TOTAL|UG/L||
849|81651|BISPHENL|BISPHENOL, TOTAL, UG/L|TOTAL|UG/L||
850|81674|OCTANOIC|OCTANOIC ACID IN WATER, UG/L|ACID TOT|UG/L||
851|81679|EPICLORO|EPICLOROHYDRIN, TOTAL, MG/L|HYDRIN|MG/L||
852|81708|STYRENE|STYRENE, TOTAL, MG/L|TOTAL|MG/L||
853|81710|M-XYLENE|M-XYLENE, TOTAL, UG/L|TOTAL|UG/L||
854|81757|CYANAZIN|CYANAZINE, TOTAL, UG/L|TOTAL|UG/L||
855|81758|ETHOPROP|ETHOPROP, TOTAL, UG/L|TOTAL|UG/L||
856|81815|ORTHENE|ORTHENE, TOTAL, UG/L|TOTAL|UG/L||
857|81853|TRICHLOR|TRICHLOROETHANE IN WATER, UG/L|ETHANE|UG/L||
858|81888|DSULFTON|DISULFOTON, TOTAL, UG/L|TOTAL|UG/L||
859|81890|AZODRIN|AZODRIN (MONOCROTOPHOS), TOTAL, UG/L|TOTAL|UG/L||
860|81892|CYCLOATE|CYLOATE (RONEET), TOTAL, UG/L|TOTAL|UG/L||
861|81894|EPTC|EPTC (EPTAM), TOTAL, UG/L|TOTAL|UG/L||
862|82045|ETHANE|ETHANE, DISSOLVED IN WATER (UG/L)|DISSOLVE|UG/L||
863|82051|AMIBEN|AMIBEN, DISSOLVED, UG/L|DISS|UG/L||
864|82052|BANVEL|BANVEL (DICAMBA), TOTAL, UG/L|TOTAL|UG/L||
865|82068|POTASIUM|POTASSIUM 40 (K-40), DISSOLVED, PC/L|K-40,DIS|PC/L||
866|82079|TURBIDIT|TURBIDITY, LAB, NEPHELOMETRIC TURBIDITY UNITS, NTU|TURBIDIT|NTU ||
867|82080|THMSUM|TRIHALOMETHANE TOTAL BY SUMMATION, UG/L|TOTAL|UG/L||
868|82081|CARBON-13/CARBON-14|DELTA CARBON 13 C13/C12 PER MIL|ISOTOPE|0/00||
869|82082|H2/H1|H-2 / H-1 STABLE ISOTOPE RATIO (DEUTERIUM/PROTIUM)|STA.ISOT|0/00||
870|82083|LI7/LI6|LI-7/ LI-6 STABLE ISOTOPE (RATIO PER MIL)|STA.ISOT|0/00||
871|82084|N15/N14|NITROGEN-15/NITROGEN-14 STABLE ISOTOPE  RATIO/MIL|RATIO|0/00||
872|82085|C13|DELTA CARBON 13 CORRECTED, PER MIL|ISOTOPE|0/00||
873|82086|S34/S32|S-34/ S-32 STABLE ISOTOPE RATIO, IN WATER, PER MIL|STA.ISOT|0/00||
874|82088|TERBUFOS|TERBUFOS (COUNTER), TOTAL, UG/L|TOTAL|UG/L||
875|82105|EICOSANE|EICOSANE IN WATER, UG/L|TOTAL|UG/L||
876|82172|CARBON-14, MODERN FRACTION|CARBON-14 FRACTION MODERN|FMDN|||
877|82183|2,4-DP|2,4-DP, TOTAL, UG/L|TOTAL|UG/L||
878|82184|AMETRYN|AMETRYN, TOTAL, UG/L|TOTAL|UG/L||
879|82185|ATRATON|ATRATON, TOTAL, UG/L|TOTAL|UG/L||
880|82197|BETASAN|BETASAN (N-2-MERCAPTOETHYL BENZENE SULFMDE) UG/L|IN WTR|UG/L||
881|82198|BROMACIL|BROMACIL (HYVAR), TOTAL, UG/L|TOTAL|UG/L||
882|82205|SPECIFIC|SPECIFIC GRAVITY (GM/L)|GRAVITY|GM/L||
883|82242|ACIDITY|ACIDITY, TOTAL AS CACO3 FIELD DATA|AS CACO3|MG/L||
884|82244|ALKALIN|ALKALINITY PHENOLPHTHALEIN FIELD DATA (MG/L)|PHENOL|MG/L||
885|82298|BROMIDE|BROMIDE, DISSOLVED, (UG/L AS BR)|DISSOLVE|UG/L||
886|82303|RADON|RADON 222, TOTAL, PC/L|222 TOT|PC/L||
887|82305|RADON|RADON 222, DISSOLVED, PC/L|222 DISS|PC/L||
888|82307|COBALT|COBALT 60, DISSOLVED, PC/L|60 DISS|PC/L||
889|82316|HELIUM|HELIUM, DISSOLVED (UG/L AS HE)|DISSOLVE|UG/L||
890|82334|GOLD|GOLD, DISSOLVED (UG/L AS AU)|DISSOLVE|UG/L||
891|82354|ENDOSUL|ENDOSULFAN, DISSOLVED, UG/L|FAN DISS|UG/L||
892|82359|PROPANE|PROPANE, DISSOLVED, UG/L|DISSOLVE|UG/L||
893|82362|RADON|RADON 222, DISSOLVED GAS IN WATER, PC/L|222-DISS|PC/L||
894|82364|THORIUM|THORIUM, TOTAL IN WATER, UG/L|TH, TOT|UG/L||
895|82383|AGGRSIVE|AGGRESSIVE INDEX = PH + LOG(AH)|INDEX|LOGA||
896|82390|FREEACID|FREE ACID, TOTAL, MG/L|TOTAL|MG/L||
897|82410|PENOXALI|PENOXALIN (PROWL), TOTAL, UG/L|TOTAL|UG/L||
898|82416|PARAQUAT|PARAQUAT, TOTAL, UG/L|TOTAL|UG/L||
899|82418|CISPERM|CIS PERMETHRIN, TOTAL, UG/L|ETHRIN|UG/L||
900|82420|TRNS-PRM|TRANS-PERMETHRIN, TOTAL, UG/L|TOTAL|UG/L||
901|82512|M-DICHL|M-DICHLOROBENZENE, TOTAL, UG/L|BENZENE|UG/L||
902|82584|HYDRXCRB|3-HYDROXY CARBOFURAN,IN WATER, UG/L|FURN TOT|UG/L||
903|82586|ALDICARB|ALDICARB SULFOXIDE, TOTAL, UG/L|SULFOXID|UG/L||
904|82587|ALDICARB|ALDICARB SULFONE, TOTAL, UG/L|SULFONE|UG/L||
905|82611|METRBUZN|METRIBUZIN, WHOLE WATER, TOTAL RECOVERABLE, UG/L|TOT REC|UG/L||
906|82612|METLCLOR|METOLACHLOR, WHOLE WATER, TOTAL RECOVERABLE, UG/L|TOT REC|UG/L||
907|82614|FONOFOS|FONOFOS (DYFONATE), WHOLE WATER, TOTAL RECOV. UG/L|TOT REC|UG/L||
908|82624|ENDOSULN|ENDOSULFAN II, TOTAL, UG/L|II, TOT|UG/L||
909|82625|DBRMCLOR|DIBROMOCHLOROPROPANE,WATER,TOTAL RECOVERABLE,UG/L|PRPN TOT|UG/L||
910|82630|MTRBUZIN|METRIBUZIN (SENCOR), WATER, DISSOLVED, UG/L|WTR DISS|UG/L||
911|82637|1CH-4MTH|1-CHLORO-4-METHYLBENZENE, TOTAL, UG/L|BENZENE|UG/L||
912|82660|26DTHYLA|2, 6-DIETHYLANILINE, WATER, FILTERED, UG/L|NALN DIS|UG/L||
913|82661|TRIFLRLN|TRIFLURALIN (TREFLAN), 0.7U FILT,TOT REC,WTR,UG/L|TOT REC|UG/L||
914|82662|DMTHOATE|DIMETHOATE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
915|82663|ETLFLALN|ETHALFLURALIN, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
916|82664|PHORATE|PHORATE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
917|82665|TERBACIL|TERBACIL, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
918|82666|LINURON|LINURON, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
919|82667|MTYLPTHN|METHYLPARATHION, 0.7 UM FILT, TOT RECV, WATER,UG/L|TOT REC|UG/L||
920|82668|EPTC|EPTC, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
921|82669|PEBULATE|PEBULATE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
922|82670|TBTHIRON|TEBUTHIURON, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
923|82671|MOLINATE|MOLINATE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
924|82672|ETHOPROP|ETHOPROP, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
925|82673|BNFLRALN|BENFLURALIN, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
926|82674|CRBFURAN|CARBOFURAN,  0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
927|82675|TERBUFOS|TERBUFOS, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
928|82676|PRONAMID|PRONAMIDE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
929|82677|DSLFOTON|DISULFOTON, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
930|82678|TRIALATE|TRIALLATE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
931|82679|PROPANIL|PROPANIL, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
932|82680|CARBARYL|CARBARYL, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
933|82681|THIBNCAR|THIOBENCARB, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
934|82682|DCPA|DCPA, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
935|82683|PNDMTHLN|PENDIMETHALIN, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
936|82684|NPRPMIDE|NAPROPAMIDE, 0.7 UM FILTER, TOT RECV, WATER, UG/L|TOT REC|UG/L||
937|82685|PRPARGIT|PROPARGITE, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
938|82686|MYLZNPHS|METHYLAZINPHOS, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
939|82687|CSPRMTHN|CIS-PERMETHRIN, 0.7 UM FILT, TOT RECV, WATER, UG/L|TOT REC|UG/L||
940|85795|METAPARA|META/PARAXYLENE, WATER, UNFLTRD, REC|XYLENE|UG/L||
941|99100|HERBICID|HERBICIDES, CHLOR. ACID PHENOXY, DISSOLVED, UG/L|DISSOLVE|UG/L||
942|99200|INSECTIC|INSECTICIDES, DISSOLVED, UG/L|IDE,DISS|UG/L||
943|99300|DO|OXYGEN, DISSOLVED (MG/L) PHOTOMETER|DO MG/L|MG/L||
944|99301|NH3-N|NITROGEN, AMMONIA, DISSOLVED (MG/L) PHOTOMETER|DISS|MG/L||
945|99302|IRON|IRON, DISSOLVED (UG/L) PHOTOMETER|FE, DISS|UG/L||
946|99303|FERROUS|IRON, FERROUS, DISSOLVED (UG/L)  PHOTOMETER|IRON|UG/L||
947|99304|PO4|PHOSPHATE, DISS. (MG/L) COLOR COMPARISION|DISS|MG/L||
948|00420|HYDALK|ALKALINITY, HYDROXIDE DISSOLVED (MG/L), LAB|HYDROXIDE ALK|MG/L||
949|00425|BICALK|ALKALINITY, BICARBONATE DISSOLVED (MG/L), LAB|BICARBONATE ALK|MG/L||
950|00430|CARALK|ALKALINITY, CARBONATE DISSOLVED (MG/L), LAB|CARBONATE ALK|MG/L||
951|71852|NITRNITR|NITRATE, DISSOLVED AS NO3, MG/L|NITRDISS|MG/L|2016-10-11|2016-10-11
