CountyId|CountyNo|Fips|CountyName|CountyNameMixed|FipCountyName
163|163|325|MEDINA|Medina|325 Medina
164|164|327|MENARD|Menard|327 Menard
165|165|329|MIDLAND|Midland|329 Midland
166|166|331|MILAM|Milam|331 Milam
167|167|333|MILLS|Mills|333 Mills
168|168|335|MITCHELL|Mitchell|335 Mitchell
169|169|337|MONTAGUE|Montague|337 Montague
170|170|339|MONTGOMERY|Montgomery|339 Montgomery
171|171|341|MOORE|Moore|341 Moore
172|172|343|MORRIS|Morris|343 Morris
173|173|345|MOTLEY|Motley|345 Motley
174|174|347|NACOGDOCHES|Nacogdoches|347 Nacogdoches
175|175|349|NAVARRO|Navarro|349 Navarro
176|176|351|NEWTON|Newton|351 Newton
177|177|353|NOLAN|Nolan|353 Nolan
178|178|355|NUECES|Nueces|355 Nueces
179|179|357|OCHILTREE|Ochiltree|357 Ochiltree
180|180|359|OLDHAM|Oldham|359 Oldham
181|181|361|ORANGE|Orange|361 Orange
182|182|363|PALO PINTO|Palo Pinto|363 Palo Pinto
183|183|365|PANOLA|Panola|365 Panola
184|184|367|PARKER|Parker|367 Parker
185|185|369|PARMER|Parmer|369 Parmer
186|186|371|PECOS|Pecos|371 Pecos
187|187|373|POLK|Polk|373 Polk
188|188|375|POTTER|Potter|375 Potter
189|189|377|PRESIDIO|Presidio|377 Presidio
190|190|379|RAINS|Rains|379 Rains
191|191|381|RANDALL|Randall|381 Randall
192|192|383|REAGAN|Reagan|383 Reagan
193|193|385|REAL|Real|385 Real
194|194|387|RED RIVER|Red River|387 Red River
195|195|389|REEVES|Reeves|389 Reeves
196|196|391|REFUGIO|Refugio|391 Refugio
197|197|393|ROBERTS|Roberts|393 Roberts
198|198|395|ROBERTSON|Robertson|395 Robertson
199|199|397|ROCKWALL|Rockwall|397 Rockwall
200|200|399|RUNNELS|Runnels|399 Runnels
201|201|401|RUSK|Rusk|401 Rusk
202|202|403|SABINE|Sabine|403 Sabine
203|203|405|SAN AUGUSTINE|San Augustine|405 San Augustine
204|204|407|SAN JACINTO|San Jacinto|407 San Jacinto
205|205|409|SAN PATRICIO|San Patricio|409 San Patricio
206|206|411|SAN SABA|San Saba|411 San Saba
207|207|413|SCHLEICHER|Schleicher|413 Schleicher
208|208|415|SCURRY|Scurry|415 Scurry
209|209|417|SHACKELFORD|Shackelford|417 Shackelford
210|210|419|SHELBY|Shelby|419 Shelby
211|211|421|SHERMAN|Sherman|421 Sherman
212|212|423|SMITH|Smith|423 Smith
213|213|425|SOMERVELL|Somervell|425 Somervell
214|214|427|STARR|Starr|427 Starr
215|215|429|STEPHENS|Stephens|429 Stephens
216|216|431|STERLING|Sterling|431 Sterling
217|217|433|STONEWALL|Stonewall|433 Stonewall
218|218|435|SUTTON|Sutton|435 Sutton
219|219|437|SWISHER|Swisher|437 Swisher
220|220|439|TARRANT|Tarrant|439 Tarrant
221|221|441|TAYLOR|Taylor|441 Taylor
222|222|443|TERRELL|Terrell|443 Terrell
223|223|445|TERRY|Terry|445 Terry
224|224|447|THROCKMORTON|Throckmorton|447 Throckmorton
225|225|449|TITUS|Titus|449 Titus
226|226|451|TOM GREEN|Tom Green|451 Tom Green
227|227|453|TRAVIS|Travis|453 Travis
228|228|455|TRINITY|Trinity|455 Trinity
229|229|457|TYLER|Tyler|457 Tyler
230|230|459|UPSHUR|Upshur|459 Upshur
231|231|461|UPTON|Upton|461 Upton
232|232|463|UVALDE|Uvalde|463 Uvalde
233|233|465|VAL VERDE|Val Verde|465 Val Verde
234|234|467|VAN ZANDT|Van Zandt|467 Van Zandt
235|235|469|VICTORIA|Victoria|469 Victoria
236|236|471|WALKER|Walker|471 Walker
237|237|473|WALLER|Waller|473 Waller
238|238|475|WARD|Ward|475 Ward
239|239|477|WASHINGTON|Washington|477 Washington
240|240|479|WEBB|Webb|479 Webb
241|241|481|WHARTON|Wharton|481 Wharton
242|242|483|WHEELER|Wheeler|483 Wheeler
243|243|485|WICHITA|Wichita|485 Wichita
244|244|487|WILBARGER|Wilbarger|487 Wilbarger
245|245|489|WILLACY|Willacy|489 Willacy
246|246|491|WILLIAMSON|Williamson|491 Williamson
247|247|493|WILSON|Wilson|493 Wilson
248|248|495|WINKLER|Winkler|495 Winkler
249|249|497|WISE|Wise|497 Wise
250|250|499|WOOD|Wood|499 Wood
251|251|501|YOAKUM|Yoakum|501 Yoakum
252|252|503|YOUNG|Young|503 Young
253|253|505|ZAPATA|Zapata|505 Zapata
254|254|507|ZAVALA|Zavala|507 Zavala
