,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
16,2014-01-06,393739.1157879964,114663.88601824656,455833.90870751115,393739.1157879964,393739.1157879964,-110391.24679288645,-110391.24679288645,-110391.24679288645,-2051.9935752241267,-2051.9935752241267,-2051.9935752241267,-108339.25321766234,-108339.25321766234,-108339.25321766234,0.0,0.0,0.0,283347.8689951099
17,2014-01-07,393719.211901452,110352.52222096176,453052.9453845838,393719.211901452,393719.211901452,-111367.14337570041,-111367.14337570041,-111367.14337570041,-3556.2153779503997,-3556.2153779503997,-3556.2153779503997,-107810.92799775,-107810.92799775,-107810.92799775,0.0,0.0,0.0,282352.0685257516
18,2014-01-08,393699.30801490764,128673.13497253254,453527.0773898714,393699.30801490764,393699.30801490764,-100243.4134512837,-100243.4134512837,-100243.4134512837,6275.536517451305,6275.536517451305,6275.536517451305,-106518.94996873502,-106518.94996873502,-106518.94996873502,0.0,0.0,0.0,293455.89456362394
19,2014-01-09,393679.40412836324,117409.7617664668,467437.1464035701,393679.40412836324,393679.40412836324,-102158.81845778514,-102158.81845778514,-102158.81845778514,2363.3261343874337,2363.3261343874337,2363.3261343874337,-104522.14459217255,-104522.14459217255,-104522.14459217255,0.0,0.0,0.0,291520.5856705781
20,2014-01-10,393659.50024181884,112719.45525347044,467457.8285916243,393659.50024181884,393659.50024181884,-106981.4901909142,-106981.4901909142,-106981.4901909142,-5084.718113660468,-5084.718113660468,-5084.718113660468,-101896.77207725373,-101896.77207725373,-101896.77207725373,0.0,0.0,0.0,286678.01005090465
21,2014-01-11,393639.5963552745,120949.15509489246,461159.86938844266,393639.5963552745,393639.5963552745,-99571.61152848744,-99571.61152848744,-99571.61152848744,-837.1366326462446,-837.1366326462446,-837.1366326462446,-98734.47489584121,-98734.47489584121,-98734.47489584121,0.0,0.0,0.0,294067.984826787
22,2014-01-12,393619.69246873015,125162.83721401972,477852.07631245675,393619.69246873015,393619.69246873015,-92248.5989044217,-92248.5989044217,-92248.5989044217,2891.201047655805,2891.201047655805,2891.201047655805,-95139.7999520775,-95139.7999520775,-95139.7999520775,0.0,0.0,0.0,301371.0935643085
23,2014-01-13,393599.7885821857,141148.54346613915,468074.23657207104,393599.7885821857,393599.7885821857,-93279.35626724192,-93279.35626724192,-93279.35626724192,-2051.993575228376,-2051.993575228376,-2051.993575228376,-91227.36269201356,-91227.36269201356,-91227.36269201356,0.0,0.0,0.0,300320.43231494376
24,2014-01-14,393579.88469564135,138781.42610506862,500170.8585039084,393579.88469564135,393579.88469564135,-90674.94624672362,-90674.94624672362,-90674.94624672362,-3556.2153779451573,-3556.2153779451573,-3556.2153779451573,-87118.73086877845,-87118.73086877845,-87118.73086877845,0.0,0.0,0.0,302904.9384489177
25,2014-01-15,393559.980809097,143690.6613531204,495587.93483059725,393559.980809097,393559.980809097,-76663.57741472534,-76663.57741472534,-76663.57741472534,6275.5365174467615,6275.5365174467615,6275.5365174467615,-82939.1139321721,-82939.1139321721,-82939.1139321721,0.0,0.0,0.0,316896.4033943717
26,2014-01-16,393540.0769225526,168575.44632737912,496416.64391567354,393540.0769225526,393540.0769225526,-76450.62370660796,-76450.62370660796,-76450.62370660796,2363.3261343816353,2363.3261343816353,2363.3261343816353,-78813.9498409896,-78813.9498409896,-78813.9498409896,0.0,0.0,0.0,317089.45321594464
27,2014-01-17,393520.17303600826,149473.44128651696,492771.1753231089,393520.17303600826,393520.17303600826,-79950.20243660302,-79950.20243660302,-79950.20243660302,-5084.718113658133,-5084.718113658133,-5084.718113658133,-74865.4843229449,-74865.4843229449,-74865.4843229449,0.0,0.0,0.0,313569.97059940523
28,2014-01-18,393500.2691494639,146628.07898176185,492456.8994873635,393500.2691494639,393500.2691494639,-72046.57476006044,-72046.57476006044,-72046.57476006044,-837.1366326557115,-837.1366326557115,-837.1366326557115,-71209.43812740472,-71209.43812740472,-71209.43812740472,0.0,0.0,0.0,321453.69438940345
29,2014-01-19,393480.36526291945,159021.2267118114,509172.6039998985,393480.36526291945,393480.36526291945,-65060.65455754424,-65060.65455754424,-65060.65455754424,2891.2010476533856,2891.2010476533856,2891.2010476533856,-67951.85560519762,-67951.85560519762,-67951.85560519762,0.0,0.0,0.0,328419.7107053752
30,2014-01-20,393460.4613763751,165481.65037568734,499696.0786698186,393460.4613763751,393460.4613763751,-67238.21663506939,-67238.21663506939,-67238.21663506939,-2051.9935752217752,-2051.9935752217752,-2051.9935752217752,-65186.22305984762,-65186.22305984762,-65186.22305984762,0.0,0.0,0.0,326222.2447413057
31,2014-01-21,393440.55748983077,149263.19578072848,486335.9337933265,393440.55748983077,393440.55748983077,-66547.15325777797,-66547.15325777797,-66547.15325777797,-3556.215377954202,-3556.215377954202,-3556.215377954202,-62990.93787982377,-62990.93787982377,-62990.93787982377,0.0,0.0,0.0,326893.4042320528
32,2014-01-22,393420.6536032863,170383.1096787609,516529.2446396848,393420.6536032863,393420.6536032863,-55151.66316704119,-55151.66316704119,-55151.66316704119,6275.536517452641,6275.536517452641,6275.536517452641,-61427.199684493826,-61427.199684493826,-61427.199684493826,0.0,0.0,0.0,338268.9904362451
