date,Biomass,Coal,Hydro,Nuclear,Other,Solar,Wind,NGas
2019-01-01,1148.314991,235545.419526,4895.269472,93428.357022,53.641722,1485.935487,176177.511908,475653.697263
2019-01-02,1162.20308,277037.062665,5811.108914,93426.929304,55.992074,1026.608335,44647.092789,709069.813908
2019-01-03,1162.613999,245775.354898,6837.828552,93522.637484,31.195408,9382.768256,112757.167848,635610.279409
2019-01-04,1179.698363,198852.627671,6657.928108,93427.506416,42.907599,10825.450374,118378.826967,588005.15422
2019-01-05,1136.227615,185398.002431,6520.970604,93425.248697,36.684742,9823.23725,175650.00389,433669.22045799997
2019-01-06,1122.135563,137260.205199,6538.767945,93413.506943,41.607702,4165.250898,379085.479901,212996.610242
2019-01-07,1119.04205,171146.077362,7085.658106,93269.119937,44.930458,8939.862978,241504.388634,315892.792028
2019-01-08,1087.790487,182844.928746,5566.202037,92511.349709,58.05907,6712.257062,210480.04828,359410.469348
2019-01-09,1083.071517,198280.285094,5447.809156,92376.484747,46.970165,4670.788991,124781.880618,465531.101274
2019-01-10,1075.064571,190686.597798,5467.456649,92445.325023,73.833325,6829.00009,241476.727833,398587.682218
2019-01-11,1162.835612,200644.991499,5397.557085,92371.034328,42.505217,3300.518143,299711.198869,319227.88505000004
2019-01-12,1113.175156,194849.337421,5380.871149,92470.979758,121.555342,9477.628903,248860.3813,333168.388532
2019-01-13,1099.209619,236520.196605,5495.733261,92590.888229,36.564024,7637.246559,78660.808811,543224.685761
2019-01-14,928.016193,257460.362184,5339.920585,92666.503089,95.981938,2804.772024,54020.070075,636646.129421
2019-01-15,901.532073,257180.339106,5453.692361,92666.270358,190.020504,5050.264022,129605.60583,526436.8658179999
2019-01-16,1020.203267,244095.899829,5051.253839,92667.5342,90.263175,8882.428637,229717.688818,356050.177633
2019-01-17,954.949949,232934.26604,3442.044796,92585.073392,42.26847,9230.10807,148273.136491,383205.642664
2019-01-18,1074.158214,220840.143834,3427.745424,92911.629871,42.787447,7360.63859,368837.961143,192284.377561
2019-01-19,1184.247623,199950.315824,3363.081628,103033.721106,49.641882,10980.259908,338580.510869,311092.344285
2019-01-20,1190.241494,231630.443407,2402.555433,112741.378733,62.137545,10467.582283,216068.640635,454383.165024
2019-01-21,1099.69012,183487.088674,2968.472933,117225.895752,41.215544,6890.95377,429616.583755,263001.267969
2019-01-22,1180.459328,190005.748007,2579.275294,119754.892516,201.04331,5445.905928,362781.275408,224333.446742
2019-01-23,1170.950946,261707.232411,3162.233206,122734.44056,61.592638,11779.592917,188675.816539,495527.277443
2019-01-24,1189.231744,234073.872986,2934.758045,122717.293694,36.946945,11443.336746,241027.434198,446727.29959999997
2019-01-25,1222.10824,235117.506416,4309.288664,122787.931339,15.739872,10565.128435,109046.754107,524413.874069
2019-01-26,1227.162486,237978.011456,4573.88158,122800.081753,27.854248,8540.294924,78526.606087,461698.371865
2019-01-27,986.4177,229709.923284,4349.875638,122790.417041,40.526377,11639.848113,157186.184295,351264.87421200005
2019-01-28,1153.746967,186670.968766,3559.986369,122757.859236,55.353248,10616.806961,366448.315227,244348.3579
2019-01-29,1190.910594,245420.26361,4687.86812,122742.453599,3.647576,6837.185954,125129.26206,540954.204314
2019-01-30,1206.76173,235911.74574,3655.744734,122796.267199,-0.011462,7673.056473,192430.8727,501223.93293899996
2019-01-31,1202.081141,244535.94517,3116.152584,122741.533671,63.854345,8118.336653,248005.397995,357791.006023
2019-02-01,1180.893029,235188.254815,3125.730477,121088.931454,55.660841,7985.907225,155857.759155,351833.17317900003
2019-02-02,1168.040213,213287.859732,2628.318606,122750.839778,60.603894,7851.795947,247007.981544,222927.54109100002
2019-02-03,1090.263855,182134.445905,2521.620922,122755.209746,55.474901,7615.837012,331635.772984,150499.92732400002
2019-02-04,1121.413369,221445.773806,3006.044908,122680.794399,64.018297,8566.160037,201979.68802,294526.170728
2019-02-05,1091.51873,220217.404368,2962.364221,122640.575506,185.126502,5358.847938,247703.635015,279434.818152
2019-02-06,1122.18567,195306.574951,3501.345089,122587.633848,66.845421,5354.717982,311653.561608,256257.051088
2019-02-07,1112.799186,189465.979,3860.697974,122409.675206,52.294515,10748.941209,265598.326334,339292.81910499994
2019-02-08,1174.485183,248817.077088,3612.571887,122550.515669,133.898103,4792.964378,168133.716436,642988.8129459999
2019-02-09,1129.074507,268180.628878,3858.903938,122617.919644,55.873531,5325.141226,143167.761559,604580.422173
2019-02-10,1090.211887,271850.355914,3802.807225,122646.052295,53.249851,2111.188521,122411.623545,498276.207804
2019-02-11,1098.624326,231496.569036,3047.880786,122621.769343,128.053502,2401.479384,279322.943186,298687.085076
2019-02-12,1113.898587,189177.266377,2424.096281,122654.02822,27.845235,13297.009313,205159.501816,376067.197134
2019-02-13,1141.156293,186990.044317,1999.10582,122640.43389,72.878295,8123.766374,389675.127691,261531.567645
2019-02-14,1044.436266,199639.318177,1720.092038,122635.595043,92.611547,7178.50747,296859.910706,251601.96119200002
2019-02-15,1072.810676,201378.349663,2010.657393,122642.59576,61.640142,8716.727205,241611.098086,291728.380179
2019-02-16,1141.008527,256690.336447,1951.782824,122133.108738,159.873108,10441.36762,159155.306295,365442.11401699996
2019-02-17,1107.713237,207924.102207,1985.091073,122507.296964,56.9037,11906.729346,169578.607875,355916.438906
2019-02-18,1094.717442,217785.997942,1959.844589,122600.950219,65.837053,5626.985604,248247.357864,413330.631609
2019-02-19,1123.135199,251313.09444,2064.227561,122500.259566,176.648839,4519.044584,90969.793581,602599.023542
2019-02-20,1114.507505,208095.523774,2194.616611,122653.15794,94.488788,11294.217706,195584.92903200001,447004.910773
2019-02-21,1090.129017,193919.335023,2062.980054,122649.143769,66.483582,7864.288165,288440.46045,358911.62605799997
2019-02-22,1079.818091,244630.318094,1848.437979,122668.140375,63.117667,8836.340974,133658.09705,427736.94768599997
2019-02-23,1015.507852,187814.658294,811.136439,122655.349406,58.364867,10264.784217,318959.477832,207346.66818399998
2019-02-24,1023.439845,213766.755389,2006.512424,122667.716757,58.704379,13233.219386,179513.243922,326355.894237
2019-02-25,1071.516263,185479.562158,2818.587885,122647.217942,57.368783,9582.492005,352624.136616,249704.244844
2019-02-26,1039.213253,238474.207846,2790.066959,122615.625072,75.063156,10433.021383,195436.266885,311632.027896
2019-02-27,1028.317056,236602.491132,2753.390594,122521.875399,112.831024,7705.72888,165439.778649,357990.716149
2019-02-28,1117.612619,290600.860585,2371.792169,122438.145249,1.576309,9888.294607,67301.104401,550820.313195
2019-03-01,1122.451752,282195.784855,2691.662682,122532.76121,-48.89121,10020.642894,91889.403803,493207.89953199995
2019-03-02,1107.17942,287220.193059,2538.815859,96078.763363,-17.029839,5631.113065,119252.406785,426154.26851900003
2019-03-03,1106.110714,296321.992529,2210.585487,102013.397467,-2.392076,3869.95866,182835.547333,430385.167062
2019-03-04,2357.992521,299712.236205,2295.39657,121242.039347,79.552092,8829.097528,151635.832895,710452.193097
2019-03-05,3027.045797,294846.819049,1930.589453,122629.373686,230.604526,13452.942741,60561.706478,720616.888106
2019-03-06,2891.368856,247735.382073,1938.715731,122633.114043,-8.699483,10629.370455,259089.490663,453784.483544
2019-03-07,3431.753036,197564.406058,1960.482572,122582.610651,-0.400201,7960.586329,294233.941458,289123.352685
2019-03-08,3265.865912,198955.578292,1905.752097,122626.353429,48.936443,5035.653862,236601.825772,306576.601218
2019-03-09,2747.164031,168075.527085,1912.149439,122553.320314,9.571077,10548.844311,230532.713954,316891.534902
2019-03-10,2678.689365,164117.165309,2078.70586,117270.541035,16.389029,4217.71623,167279.450919,347599.63650100003
2019-03-11,2670.859744,210668.276275,2143.931839,122179.388981,85.377401,2239.556716,95947.936417,444968.828972
2019-03-12,1088.414564,175810.120844,2214.85952,122316.906368,37.620838,2563.49088,278869.916089,293491.738686
2019-03-13,1067.489713,185579.063799,1790.331106,122332.484888,131.696232,11685.29962,314539.498219,229614.083706
2019-03-14,1051.981191,158686.18474,2439.306129,122310.450347,44.753743,14247.667179,281482.718011,268532.409657
2019-03-15,1073.793778,171111.413917,2639.898433,122405.514883,56.431022,12454.133252,198707.297629,351360.51923
2019-03-16,1112.136389,213591.560502,2999.466568,122416.989664,47.634268,9917.436618,74347.20351,422790.775825
2019-03-17,1060.539381,203555.282186,3006.792746,122366.257532,26.316498,14035.240416,43462.11792,433402.55114700005
