date,Biomass,Coal,Hydro,Nuclear,Other,Solar,Wind,NGas
2012-01-01,869.281425,237851.5591,707.505941,123916.5462,573.604937,215.930344,129841.1413,230633.60128
2012-01-02,876.354549,257148.9385,648.231948,123911.9046,576.995742,197.388069,125540.3124,222319.34209999998
2012-01-03,919.860335,273217.6515,758.143065,123870.5912,508.432071,205.92672,115198.1598,274492.53559
2012-01-04,961.694048,261765.2689,679.989206,123816.6095,481.496846,139.634252,79925.34046,294674.58605
2012-01-05,786.41315,246951.9593,722.931711,123963.5275,414.930121,401.044146,46272.74952,325441.54296
2012-01-06,846.054175,243831.3479,731.921381,123872.7692,494.783553,283.486182,95565.35331,281636.0927
2012-01-07,797.791691,282767.1733,640.605029,123835.2798,463.590982,159.334952,34038.09011,313951.9413
2012-01-08,795.051094,292797.918,510.164029,123682.821,486.155481,166.49962,58408.91682,255008.68467000002
2012-01-09,903.717201,261941.8745,510.957599,123702.935,494.805086,130.046268,125795.1203,217077.51114000002
2012-01-10,837.677952,280035.9529,777.217632,123739.9918,453.227572,365.914081,63267.06228,379800.90882
2012-01-11,789.538131,304358.178,696.467612,124105.968,430.240028,339.736668,37070.90178,445896.74028
2012-01-12,827.532327,314041.2561,693.910642,124214.1659,360.795306,389.778493,101456.3262,355264.67525
2012-01-13,904.445415,295334.7603,512.257915,124182.582,306.479232,239.462886,150973.287,272924.90475
2012-01-14,941.344437,289538.5193,583.571337,124130.2255,384.154702,49.315896,166851.6581,190894.24704
2012-01-15,922.10234,298733.4651,551.847221,124048.6838,463.559068,105.058278,100525.8438,188687.74648
2012-01-16,851.582266,289114.6369,698.53683,124054.3059,510.34721,88.949296,100912.1384,184307.98025
2012-01-17,783.263707,293474.94,523.467559,124100.6201,501.37584,420.789203,109982.2749,233651.76004999998
2012-01-18,756.778831,326013.2161,537.008103,124107.3551,476.65974,402.400862,100461.0047,230679.38148
2012-01-19,749.994535,299872.6528,525.282481,123959.4256,389.458821,189.002236,175444.0411,191257.82736999998
2012-01-20,687.186152,300837.4347,595.631456,124118.1464,377.265158,372.175352,102647.0248,291415.27065
2012-01-21,724.50418,324145.9301,639.477984,124255.1578,404.432336,289.964083,79367.47113,337263.2658
2012-01-22,762.330836,305124.7145,1401.01987,124237.3742,380.312263,240.685084,160442.4503,175571.64694
2012-01-23,781.585173,291086.1189,1320.692775,124168.2478,405.837225,107.631781,99319.7774,167060.89186
2012-01-24,783.438154,346461.4711,1455.277015,124115.3566,457.900517,369.189536,43756.57996,220858.9598
2012-01-25,646.291774,270708.9499,1467.396787,124128.657,383.241951,381.155512,158896.2368,224534.4215
2012-01-26,613.286243,342719.9418,1497.196988,124318.9911,335.967008,344.841126,52344.76133,470597.13348
2012-01-27,768.309839,342856.9063,1479.275241,124296.3799,396.803526,50.851222,71928.28867,419998.35523999995
2012-01-28,828.794308,332751.2362,1475.318216,124252.8962,403.768723,355.754006,62676.34272,348376.77075
2012-01-29,851.423362,358755.7443,1664.174265,124322.8582,435.854688,159.694352,41120.55107,390910.81422999996
2012-01-30,837.444221,331087.1275,1565.573507,124339.8117,446.970833,143.693468,160953.5829,276422.26915
2012-01-31,891.994039,307596.4031,1530.764495,124286.7514,437.636187,32.845889,94769.21706,277198.90754
2012-02-01,844.438768,324104.4313,631.77955,60665.16132,420.344164,335.9195,60998.0327,343284.6707
2012-02-02,891.51149,321396.8917,806.678139,38545.56951,470.024606,373.821444,114183.3859,330182.2722
2012-02-03,945.472186,337858.5345,753.759046,41919.02007,514.147795,334.142942,64059.88668,311700.85653
2012-02-04,833.28687,351359.8933,897.760312,45356.2669,506.330565,388.323895,22570.00929,314489.47680999996
2012-02-05,885.692919,335844.4673,692.083329,53253.86005,509.346789,435.666149,50755.16935,335540.6533
2012-02-06,867.351091,330338.9772,594.513472,57818.7021,475.664041,471.425164,23597.909,319242.26459
2012-02-07,920.61853,314842.0673,681.209168,44552.31858,439.639866,461.457385,69736.51616,308440.43912
2012-02-08,950.220567,289014.1214,728.591054,48072.64106,478.315638,407.693454,160867.7639,262042.75986999998
2012-02-09,971.63114,307925.7476,644.747104,47544.57887,455.867305,401.836327,162210.8147,265038.57224
2012-02-10,941.761756,285615.4062,557.356777,46351.47092,511.35901,304.936371,184277.361,225142.69009999998
2012-02-11,916.752411,308036.732,663.907514,61426.98501,441.043375,207.38897,117446.0807,241967.6476
2012-02-12,861.951036,312708.2697,771.3282,89639.81848,425.783508,427.675636,37283.12161,292512.45479
2012-02-13,833.099816,291727.6254,715.487491,90802.34611,332.74434,103.912051,81541.9153,305262.06734999997
2012-02-14,837.578481,294765.5617,652.333866,90873.89685,292.913593,258.933781,44323.25726,317449.88691999996
2012-02-15,914.859187,300364.771,698.132176,90911.53281,249.450099,153.791015,54564.3381,311660.22973
2012-02-16,850.316229,306892.2543,791.100583,90920.43223,329.175973,344.250253,35141.86022,306167.37914
2012-02-17,854.119863,309885.4726,500.287342,73775.59848,386.203044,439.577876,93151.88274,229869.42844
2012-02-18,877.844386,300598.5217,528.286057,63998.42852,418.857942,391.802723,118534.2477,200223.93469
2012-02-19,878.715331,319685.361,605.614847,86347.45655,408.382095,181.620766,47281.43023,264124.83823
2012-02-20,889.938357,359982.1564,798.30013,88927.80339,469.264957,396.588439,14083.26903,268985.02677
2012-02-21,847.858951,340401.1671,602.063663,90316.68423,449.969332,340.338781,84052.56493,215815.26891
2012-02-22,933.458159,296782.4049,541.552676,90567.95777,487.153345,314.798258,108608.4059,168946.98210999998
2012-02-23,904.982415,294358.5659,555.24518,90431.01248,498.760597,183.254078,115213.7484,163525.93588
2012-02-24,860.925145,331567.9485,623.629143,89963.77547,478.547763,389.109884,70857.4917,184087.9985
2012-02-25,920.350412,306620.6561,554.344526,89914.82859,430.864713,369.998382,120847.6395,163483.50997
2012-02-26,879.466606,321427.8837,623.158309,89814.75693,468.401699,246.618405,116629.034,222639.62864
