date,Coal,Hydro,Nuclear,Other,Wind,NGas
2009-01-01,344662.6067,1417.629183,123910.8421,12391.41322,10566.19201,314741.58645
2009-01-02,346227.7431,1407.917252,123770.3899,9423.257939,55018.4239,309800.40774
2009-01-03,339243.8856,1624.800169,123582.8541,11188.86936,42425.89513,359377.05741
2009-01-04,323357.808,1513.2264,123779.7758,15463.78948,32531.35599,455430.2232
2009-01-05,333110.101,1225.651974,123984.075,13931.58404,97504.45505,354638.18638
2009-01-06,314187.0383,1149.328952,123869.3991,17742.03049,67747.95649,286558.07093
2009-01-07,313035.4517,1733.678263,123763.4037,15866.15209,28210.78118,335965.47838
2009-01-08,332263.4656,1560.494105,123769.8228,15707.67725,54363.97331,269939.84398
2009-01-09,311649.7933,1615.402139,123764.2749,16263.56461,54324.22135,376178.7502
2009-01-10,311090.7808,1688.069285,123802.1308,19673.76553,38559.87,451512.267
2009-01-11,317538.3888,1912.161258,123910.0434,19508.62551,55169.14486,365878.67633000005
2009-01-12,299118.3347,1745.296105,123862.7981,15833.3253,48362.78368,292160.77882999997
2009-01-13,284444.1121,1436.183866,123829.4771,15238.72332,71616.5851,214170.95963
2009-01-14,288968.4474,967.818705,123948.1411,15087.10746,47636.69872,250313.50653
2009-01-15,305831.8662,1260.907907,123947.0258,17113.80595,74972.14569,320426.80109
2009-01-16,353429.6669,1272.658094,124109.6249,14122.97015,22726.23031,397093.16599999997
2009-01-17,356749.149,1242.311408,124076.7387,13030.3773,44203.5753,323210.65718
2009-01-18,364322.3989,1229.035962,124115.8523,12272.70516,45225.62143,260723.91184000002
2009-01-19,368403.3108,1456.551794,124135.6096,13008.52439,19003.70059,234610.32459
2009-01-20,352097.0461,1009.362037,124064.0958,12710.00132,76792.18528,198748.10223000002
2009-01-21,332076.7251,1084.778141,124037.7685,10933.34537,104711.2904,198128.56514
2009-01-22,334808.7912,967.818715,123944.8805,10040.497,94865.09517,157358.569
2009-01-23,333376.5377,1162.942856,123884.3357,5599.548326,65206.42112,158183.27911
2009-01-24,319596.2612,1020.091293,124040.921,8785.474984,117434.5548,222196.26262
2009-01-25,373631.8821,1047.408344,124176.9252,11808.96034,36459.08163,294814.43688
2009-01-26,388951.1025,1064.057389,124125.7077,10191.75855,19722.43759,275230.11663
2009-01-27,383368.8431,948.013527,124169.0558,10251.20656,13770.98235,261395.86990000002
2009-01-28,383800.81,910.176499,124163.1148,9766.204948,11436.83257,333679.89474
2009-01-29,384852.6327,1085.95376,124190.0716,8192.730188,33378.64179,373009.48532000004
2009-01-30,365109.7833,992.732179,124087.5435,8567.953756,86936.06988,239987.93309
2009-01-31,366329.7857,1165.147782,124105.2984,9516.796092,55401.71759,225945.46432
2009-02-01,321019.2655,1770.020595,64392.36054,5951.959271,72634.92556,182640.96578
