date,Biomass,Coal,Hydro,Nuclear,Other,Solar,Wind,NGas
2011-01-01,1240.848016,304483.8981,670.712237,90516.91023,357.449324,70.65129,123213.3882,248086.36398999998
2011-01-02,1478.59069,320703.6726,667.009668,90462.21494,372.626928,10.255158,62531.39844,268971.64998
2011-01-03,1483.246127,296436.2237,741.426017,90472.37075,401.536782,15.155827,89515.57352,222285.00985
2011-01-04,1411.010006,322214.6377,683.281626,90312.68708,478.415477,5.278214,59542.4857,271747.93685
2011-01-05,1348.331266,308136.0801,623.145421,90280.1916,440.383112,22.997359,128920.8425,358001.80005
2011-01-06,1547.048419,376452.4911,644.081212,90336.06413,427.214379,66.004286,41266.017,487774.78143
2011-01-07,950.647088,372366.7939,734.852463,90454.69654,369.857035,75.803008,27523.55243,495892.10515
2011-01-08,993.430042,344494.5015,659.139376,90427.60833,456.813622,67.88033,93050.17896,389898.22149
2011-01-09,1058.819618,349676.2599,678.067327,90465.96256,461.284028,41.449987,56596.26874,337750.05879000004
2011-01-10,1121.822852,360681.6752,676.207019,90417.96557,457.295655,6.621926,24793.93112,325290.19435
2011-01-11,873.872951,353847.6776,672.5745,90361.78635,448.230199,16.914781,62500.07625,299014.26297
2011-01-12,756.598663,341779.656,618.381386,90415.52599,415.91214,5.554608,51073.2966,333653.05686
2011-01-13,782.563065,295731.0901,600.353533,90328.11285,444.861928,15.333633,123263.9453,263929.98396
2011-01-14,767.815394,284126.8332,683.682696,90498.27345,403.668849,12.739737,103076.3643,274346.58339
2011-01-15,715.004432,287108.1336,755.154542,90572.96893,428.300879,13.148507,64933.81121,324328.82923
2011-01-16,753.202126,307502.1608,584.005329,90975.39298,435.867126,17.616359,41549.35643,347341.81445
2011-01-17,769.83096,319372.3328,543.829372,91012.2952,439.437375,16.857689,10310.27866,340923.7545
2011-01-18,759.731505,276264.5275,610.736913,91047.31721,446.382452,14.413027,77945.74936,275037.08857
2011-01-19,730.29841,262973.2515,765.052403,91012.53588,446.990223,23.380429,142936.829,252188.35903
2011-01-20,703.879309,282951.7964,649.871326,91071.67395,419.586506,33.418098,103750.4955,304012.58376
2011-01-21,676.603716,291057.3927,540.330905,91102.34695,408.115066,27.644734,64207.79281,374929.37262000004
2011-01-22,779.026127,288713.4568,617.342981,91065.19675,412.865256,108.403285,93023.22767,302832.93382
2011-01-23,799.647533,320346.0454,789.455618,91086.72019,402.879973,36.094077,77162.08301,347109.15196
2011-01-24,750.620318,325738.8013,733.137546,91045.61483,433.695655,12.598801,29427.13036,385095.9471
2011-01-25,770.118803,325830.7935,682.263206,91034.88168,423.898117,40.808943,13814.32997,353868.05345
2011-01-26,725.266906,304138.8888,658.263792,91079.26673,349.767923,106.3301,51895.7933,350329.72459
2011-01-27,750.861299,312746.2057,895.8736,91115.62229,360.212071,111.632484,50044.08446,376050.87426
2011-01-28,693.143158,288281.8484,923.30857,91128.85083,311.677986,106.783599,90025.35468,339036.28454
2011-01-29,764.986175,299214.2695,1110.492307,91096.46715,373.332725,106.398041,67052.21964,311733.69932
2011-01-30,891.161565,300077.8246,1188.572083,91087.48848,409.433832,103.21809,63834.383,277033.11523
