date,Biomass,Coal,Hydro,Nuclear,Other,Solar,Wind,NGas
2020-01-01,829.861577,153415.741238,1278.77758,108440.074173,-28.933694,3954.234317,349713.472491,304592.95409199997
2020-01-02,815.791618,196713.965407,2216.224027,92305.814149,-29.794426,7181.875467,272849.904152,330959.35132899997
2020-01-03,825.492881,178036.893024,2240.83457,95549.535643,-37.884666,10759.906768,266141.718609,357514.57914299995
2020-01-04,760.234727,194337.978392,2307.535835,116273.206678,-59.47334,15787.615071,191189.675041,395125.82382600004
2020-01-05,729.143935,165773.447074,2193.512222,122064.434206,69.489137,15409.573022,266110.656668,307247.16698
2020-01-06,712.686761,177505.693429,1592.343624,122291.168267,-49.297396,11896.477161,197319.324137,414193.07161600003
2020-01-07,747.409539,156259.144589,1590.403493,122263.09422,-19.804682,16137.992987,223393.440553,419306.5958
2020-01-08,765.478496,148524.715885,1477.456383,122258.636133,-69.859083,8799.571111,421906.23614,271267.324196
2020-01-09,816.359338,138440.719773,1426.263424,122257.83992,-5.887141,13094.232241,348313.409857,267695.882126
2020-01-10,755.536441,107906.366758,1506.452945,122269.112217,-63.574276,11280.832167,334818.28154,317759.966362
2020-01-11,679.298411,122011.12763,1380.200937,122242.083882,-13.210886,15563.522946,304937.940502,384825.78425200004
2020-01-12,694.326675,127159.892791,1362.152646,122281.614775,-68.452489,12484.715005,294989.475876,422636.22641999996
2020-01-13,759.963033,129768.07083,1396.756107,122306.781602,-54.636972,7728.726249,318035.731818,369112.693311
2020-01-14,770.713711,151673.725679,1771.624207,122259.211231,-51.660463,12557.66411,219271.099303,399950.055054
2020-01-15,702.492821,150961.383483,1287.191441,122195.11661,-35.231272,4284.525651,269513.145917,365529.044419
2020-01-16,804.630104,157150.795982,1738.323976,122151.618158,-20.667985,1523.034099,239112.67242,412339.701634
2020-01-17,858.61258,156164.287569,1742.04358,122088.645084,-72.460929,7862.554749,183753.186095,451768.507347
2020-01-18,856.699784,131794.790289,1593.240448,121455.367049,-38.483126,12299.082637,254390.334736,339896.802741
2020-01-19,834.243854,156095.073702,1685.449883,122280.776182,-50.648839,15675.818158,141015.593177,490485.17649
2020-01-20,866.037941,156716.573787,1904.296389,122259.680152,-57.969439,12664.268457,99746.496558,593834.6196859999
2020-01-21,830.726974,138116.583568,1814.337055,122295.375855,-10.488526,6872.755703,312046.648669,432455.122873
2020-01-22,836.42572,170380.662184,1879.165649,122306.485928,-4.7038,11781.713808,279502.361272,439765.928015
2020-01-23,875.71889,133852.860843,1863.105964,122301.981062,-48.271412,17551.39043,156039.848773,504490.881445
2020-01-24,874.744818,151399.072796,1937.844874,122373.227173,-17.429069,18638.89961,136222.942187,521650.794611
2020-01-25,867.551472,125348.473758,1827.685994,122374.544155,-19.570902,12549.671142,289379.201571,357427.802566
2020-01-26,830.852206,145117.56065,1934.499337,122369.730753,-59.136168,18550.613704,70282.483737,473569.490132
2020-01-27,819.72454,115051.151089,1879.196491,122318.679996,-24.075282,17321.613958,259718.673818,385548.551462
2020-01-28,850.112552,141845.290746,1912.67539,122291.61493,55.69916,6867.086443,382347.6746,267783.518318
2020-01-29,873.544937,134171.348623,1867.555496,122409.194686,-33.144441,19055.200854,186744.803796,541012.767698
2020-01-30,898.788599,168848.9959,1775.148321,122423.110209,-23.410106,5299.174051,79165.018718,642560.691642
2020-01-31,915.310695,126325.109581,1922.434646,122448.279006,-48.327852,10027.679245,138603.847549,564239.265608
2020-02-01,940.854563,119530.390418,1806.21041,122401.884228,-29.355095,20623.00067,207135.277242,448682.304718
2020-02-02,872.147891,129922.271104,1734.970882,122405.734144,-10.593325,14122.332122,332891.228839,257473.226766
2020-02-03,898.836673,127491.011269,1482.293156,122393.567469,44.500296,7064.445157,383112.752489,227050.783062
2020-02-04,840.258856,146708.239562,1525.65938,122350.376474,118.21707,7763.942101,323562.227485,325701.361055
2020-02-05,831.454743,189601.911524,1700.714439,122382.60588,-18.05732,4191.985966,196495.321411,596797.659395
